,Id,Name,Authors,ISBN,Rating,PublishYear,PublishMonth,PublishDay,Publisher,RatingDist5,RatingDist4,RatingDist3,RatingDist2,RatingDist1,RatingDistTotal,CountsOfReview,Language,PagesNumber,Description,pagesNumber,Count of text reviews
737,1902241,"The Adoration of Jenna Fox (Jenna Fox Chronicles, #1)",Mary E. Pearson,0805076689,3.69,2008,4,29,Henry Holt and Co.,5:11486,4:16141,3:13038,2:4008,1:1584,total:46257,4062,eng,266.0,"Who is Jenna Fox? Seventeen-year-old Jenna has been told that is her name. She has just awoken from a coma, they tell her, and she is still recovering from a terrible accident in which she was involved a year ago. But what happened before that? Jenna doesn't remember her life. Or does she? And are the memories really hers?<br /><br />This fascinating novel represents a stunning new direction for acclaimed author Mary Pearson. Set in a near future America, it takes readers on an unforgettable journey through questions of bio-medical ethics and the nature of humanity. Mary Pearson's vividly drawn characters and masterful writing soar to a new level of sophistication.",,
4688,1910949,"The Crossroads (Haunted Mystery, #1)",Chris Grabenstein,0375846972,3.82,2008,5,27,Random House Books for Young Readers,5:621,4:743,3:553,2:141,1:55,total:2113,340,eng,325.0,"ZACK, HIS DAD, and new stepmother have just moved back to his father’s hometown, not knowing that their new house has a dark history. Fifty years ago, a crazed killer caused an accident at the nearby crossroads that took 40 innocent lives. He died when his car hit a tree in a fiery crash, and his malevolent spirit has inhabited the tree ever since. During a huge storm, lightning hits the tree, releasing the spirit, who decides his evil spree isn’t over . . . and Zack is directly in his sights.<br /><br />Award-winning thriller author Chris Grabenstein fills his first book for younger readers with the same humorous and spine-tingling storytelling that has made him a fast favorite with adults.",,
5165,1912028,On Chesil Beach,Ian McEwan,0307386171,3.59,2008,6,10,Anchor,5:13893,4:27238,3:22166,2:7233,1:2409,total:72939,229,eng,203.0,"In 1962, Florence and Edward celebrate their wedding in a hotel on the Dorset coast. Yet as they dine, the expectation of their marital duties weighs over them. And unbeknownst to both, the decisions they make this night will resonate throughout their lives. With exquisite prose, Ian McEwan creates in <b>On Chesil Beach</b> a story of lives transformed by a gesture not made or a word not spoken.",,
7922,1918305,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Eric    Weiner,0446580260,3.83,2008,1,28,Twelve,5:8169,4:12555,3:7772,2:1909,1:636,total:31041,3171,en-US,335.0,"Weiner spent a decade as a foreign correspondent reporting from such discontented locales as Iraq, Afghanistan, and Indonesia. Unhappy people living in profoundly unstable states, he notes, inspire pathos and make for good copy, but not for good karma. So Weiner, admitted grump and self-help book aficionado, undertook a year's research to travel the globe, looking for the ""unheralded happy places."" The result is this book, equal parts laugh-out-loud funny and philosophical, a journey into both the definition of and the destination for true contentment.<br /><br />Apparently, the happiest places on earth include, somewhat unexpectedly, Iceland, Bhutan, and India. Weiner also visits the country deemed most malcontent, Moldova, and finds real merit in the claim.<br /><br />But the question remains: What makes people happy? Is it the freedom of the West or the myriad restrictions of Singapore? The simple ashrams of India or the glittering shopping malls of Qatar?<br />From the youthful drunkenness of Iceland to the despond of Slough, a sad but resilient town in Heathrow's flight path, Weiner offers wry yet profound observations about the way people relate to circumstance and fate.<br /><br />Both revealing and inspirational, perhaps the best thing about this hilarious trip across four continents is that for the reader, the ""geography of bliss"" is wherever they happen to find themselves while reading it.",,
8096,1918702,Lon Po Po: A Red-Riding Hood Story from China,Ed Young,0399216197,4.05,1989,11,1,Philomel Books,5:6914,4:5543,3:3646,2:734,1:311,total:17148,1061,eng,32.0,"""Not for the faint-hearted, <i>Lon Po Po</i> (Grandmother Wolf), is a tale of a menacing danger and courage....(Young's) command of page composition and his sensitive use of color give the book a visual force that matches the strength of the story and stands as one of the illustrator's best efforts."" --<i>Booklist</i>""Absolutely splendid."" -- <i>Kirkuse Reviews</i>. ""An extraordinary and powerful book."" -- <i>Publisher's Weekly</i>",,
12751,1928873,"Midnight Rising (Midnight Breed, #4)",Lara Adrian,0440244447,4.23,2008,3,25,Dell,5:14245,4:11199,3:5015,2:765,1:180,total:31404,747,eng,356.0,"<b>Book 4 in the New York Times and #1 internationally bestselling Midnight Breed vampire romance series</b><br /><br />In a world of shadows and dark, cosuming hungers, desire is the deadliest weapon...<br /><br />For journalist Dylan Alexander, it began with the discovery of a hidden tomb, thrusting her into the center of a gathering storm of violence and secrets. But nothing is as dangerous as the scarred, lethally seductive man who rises from the shadows to draw her into his world of dark desire and endless night. <br /><br />Fueled by pain and rage over a shattering betrayal, the warrior Rio has pledged his life to the war against the Rogues. He will let nothing stand in his way--least of all a mortal woman with the power to expose the entire vampire race. For an ancient evil has been awakened, and a stunning darkness is on the rise. Suddenly Dylan is powerless to resist Rio's touch, even as she uncovers a shocking link to her own past. And now she must choose: Leave Rio's midnight realm, or risk it all for the man who has shown her true passion and the infinite pleasures of the heart. . . .",,
14055,1931915,Bruiser,Neal Shusterman,0061134104,4.04,2011,10,1,HarperTeen,5:5686,4:5923,3:2952,2:686,1:259,total:15506,2042,eng,328.0,"<i>""There’s a reason why Brewster can’t have friends – why he can’t care about too many people. Because when he cares about you, things start to happen. Impossible things that can’t be explained. I know, because they're happening to me.""</i><br /><br />When Brontë starts dating Brewster “Bruiser” Rawlins – the guy voted “Most Likely to Get the Death Penalty” her twin brother, Tennyson, isn’t surprised. But then strange things begin to occur. Tennyson and Brontë’s scrapes heal unnaturally fast, and cuts disappear before their eyes. What at first seems like their good fortune turns out to be more than they bargained for…much more.",,
15524,1935309,Peony in Love,Lisa See,0812975227,3.61,2008,2,19,Random House Trade Paperbacks,5:9535,4:14412,3:12203,2:4549,1:1611,total:42310,409,,297.0,"“I finally understand what the poets have written. In spring, moved to passion; in autumn only regret.”<br /><br />For young Peony, betrothed to a suitor she has never met, these lyrics from The Peony Pavilion mirror her own longings. In the garden of the Chen Family Villa, amid the scent of ginger, green tea, and jasmine, a small theatrical troupe is performing scenes from this epic opera, a live spectacle few females have ever seen. Like the heroine in the drama, Peony is the cloistered daughter of a wealthy family, trapped like a good-luck cricket in a bamboo-and-lacquer cage. Though raised to be obedient, Peony has dreams of her own.<br /><br />Peony’s mother is against her daughter’s attending the production: “Unmarried girls should not be seen in public.” But Peony’s father assures his wife that proprieties will be maintained, and that the women will watch the opera from behind a screen. Yet through its cracks, Peony catches sight of an elegant, handsome man with hair as black as a cave–and is immediately overcome with emotion.<br /><br />So begins Peony’s unforgettable journey of love and destiny, desire and sorrow–as Lisa See’s haunting new novel, based on actual historical events, takes readers back to seventeenth-century China, after the Manchus seize power and the Ming dynasty is crushed. <br /><br />Steeped in traditions and ritual, this story brings to life another time and place–even the intricate realm of the afterworld, with its protocols, pathways, and stages of existence, a vividly imagined place where one’s soul is divided into three, ancestors offer guidance, misdeeds are punished, and hungry ghosts wander the earth. Immersed in the richness and magic of the Chinese vision of the afterlife, transcending even death, <i>Peony in Love</i> explores, beautifully, the many manifestations of love. Ultimately, Lisa See’s new novel addresses universal themes: the bonds of friendship, the power of words, and the age-old desire of women to be heard.<br /><br /><br /><i>From the Hardcover edition.</i>",,
21100,1948878,War Horse,Michael Morpurgo,1405226668,4.15,2007,8,6,Egmont Press,5:17074,4:15186,3:6873,2:1358,1:410,total:40901,203,eng,182.0,"Joey is a warhorse, but he wasn't always. Once, he was a farm horse and a gentle boy named Albert was his master. Then World War I came storming through and everything changed. Albert's father sells Joey to the army where the beautiful, red-bay horse is trained to charge the enemy, drag heavy artillery, and carry wounded soldiers not much older than Albert off of battlefields. Amongst the clamoring of guns and slogging through the cold mud, Joey wonders if the war will ever end. And if it does, will he ever find Albert again?",,
23452,1954203,Love in the Time of Cholera,Gabriel García Márquez,0307389731,3.92,2003,10,7,Vintage International,5:143819,4:137189,3:79654,2:28580,1:13398,total:402640,643,eng,368.0,"In their youth, Florentino Ariza and Fermina Daza fall passionately in love. When Fermina eventually chooses to marry a wealthy, well-born doctor, Florentino is devastated, but he is a romantic. As he rises in his business career he whiles away the years in 622 affairs--yet he reserves his heart for Fermina. Her husband dies at last, and Florentino purposefully attends the funeral. Fifty years, nine months, and four days after he first declared his love for Fermina, he will do so again.",,
