text_id,text
0,"I had contact with an e-mail sexologist. He read em on the website sexologist.org.pl that you can ask an individual question to a sexologist by e-mail . After three days, he received em to explain the disturbing topics, and then for additional questions in the second e-mail . It was for one fee but not for the doctor, only the account of Anna Dymna Foundation for the disabled. We had to pay SAMEMU and send evidence to the doctor. I did not meet them on the Internet so that a sexologist would do the job and the ""cash"" would go to a Christian target. In view of the frequent human rapacity, this must be given. I don't need a sexologist anymore, because I've only had a few news items. The sexologist did not have the tendency to ""create a patient"" but reassured me. I think it is worth recommending a doctor with social characteristics, working also selflessly."
1,"I am almost 3 weeks after the ear correction procedure. Treatment in an extremely pleasant atmosphere (I note that all kinds of knocking and picking in the body I usually hysterically endure). Mr. Doctor and the nurse are talking, not thinking at all about what's happening. The anesthesia without much excitement (the dentist is worse), you just have to get used to the strange sounds right behind your ear. After the procedure itself, you will have two days of nervous sleep in the back: ) There is something that hurts (everyone has a different tolerance for pain), but some ""ordinary"" painkillers are enough. It hurts a little bit, just like when you predict the ears. The Doctor answers all the questions and explains everything patiently, even after three times, if necessary, because a man under stress sometimes does not record the first message. After removing the stitches and ventilating the ears you can start a new life, which I warmly recommend. I know that for the final effect you have to wait a little bit longer (the ears a little ""go away"" from the head, because until then they are very glued to it, the wound will heal for several more weeks). but you can see that it's worth it. In my life I have not watched so many tutorials with hair pinning, because after 30 years I can finally tie them up and go out to people. With a clear conscience I recommend dr . Hungarians."
2,"She noted that Polpharma is also a beneficiary of several grants awarded by the National Centre for Research and Development. ""The effectiveness in reaching out in an ambitious and difficult grant procedure is also a proof that our companies will be able to compete with Western European companies"" - she added. She pointed out that ""Poland is increasingly often chosen by global biotechnology players due to the quality of its employees, IT specialists and biotechnologists. During the briefing the old man jokingly admitted that ""it's a bit crazy, what the company is planning"" . The company informed that so far, it has spent about $1.5 billion on investments in the biotechnology sector. PLN 700 million. In the following years it plans to spend on the development of products as well as research and production infrastructure. 1, 3 billion PLN . The company's total investments of PLN 2 billion in the biotechnology sector by 2022 are to enable the creation of approx. 800 jobs and contribute to the development of the Polish knowledge-based economy ."
3,"It's the second time I've come to the same place: ) great peaceful climate and breathtaking views from the balconies: ) as far as getting to Zakopane by the guest house is concerned, there is a bus stop which goes to the centre of Zakopane and about 200 m in the other direction is PKL gubałówka. Of course, the bus is much cheaper: the only disadvantage is the lack of any shop but there is a place to eat, walk. I recommend ; )"
4,"""As we know, there are still no proper drugs against neurodegenerative diseases. However, it is believed that the possible aim of these drugs would be precisely protein quality control systems,"" states Dr. Pokrzywa. Potential therapies could, for example, stimulate the activity of quality control systems or help them to quickly find and precisely remove damaged proteins, which should not be in the cell at a given time. However, before this happens, we first need to understand the process of protein degradation. Among other things, this is what the research group led by Wojciech Pokrywa is doing. Thanks to a grant recently awarded by the European Organisation for Molecular Biology (EMBO), they are investigating how quality control systems recognise proteins that should be degraded."
5,"Hotel in the city center . Very tight underground parking . For larger cars there is a general parking lot in the courtyard, unfortunately, in the evening there are no places. The hotel is located on the 1st floor of the building. On the ground floor there is a restaurant . In the attic, probably on the 3rd or 4th floor there are 3 more apartments. But to luxury they are far away. The hotel room is narrow and high. The window overlooks the wall of the building and the car park. But there is no noise from the street. The decor is modest. A little sad. There is a table, a kettle, instant coffee, tea. Two chairs. Pretty comfortable bed. I lived in a 2-person room alone. When the water in the next room was turned off, the pipes were hissing terribly. Through the door to the hallway, you could hear everything from the outside. A phone call at the reception desk, guest calls at the elevator and unbearable morning loud comments from the cleaning staff. At the reception desk the ladies had a rallying point unfortunately. In the rooms next door it's terribly disturbing. Breakfast is modest but sufficient. Tasty weddings, cheese. Hot steamers, scrambled eggs, pasta with vegetables. But we got a sour vegetable salad and omelette with completely burnt black vegetable stuffing. The staff try to be very helpful. Although the arrangements with one shift at the reception are not sustained by another shift. I'll look for another hotel next time."
6,"A couple of years ago, the doctor was treating me. Undoubtedly, she has a lot of knowledge in her field, but the approach to the patient is shameful. At first she thought that maybe the doctor has a bad day - it happens. Unfortunately, after a few meetings she convinced me that this disrespectful treatment is the norm. No respect for the patient (while doing the allergic tests she came up with the idea that this is a good time to improve her makeup - she started to paint herself with lipstick by the mirror in my presence! ) . During the visits she did not feel listened to me, but rather completely ignored. Arrogant, for a penny of feeling and culture. Apart from that she gets very easily angry with ordinary questions and answers in a malicious way. The contact with this lady was the worst meeting with a doctor in my life. I sincerely advise against it! She used the services of Medicover ."
7,"Massacre from beginning to end: 1) no cosmetics in the bathroom 2) 700 people at breakfast and 2 coffee machines ( queue for 20 minutes ) 3) reception "" dead "" . Nobody answers the phones, you can ask, threaten, as a result nothing works, nobody can anything 4) in the "" 5 star "" hotel we have an empty bar in the room. As a result you can't even drink water, which is standard for a hotel. . . 5 ) the question why this is so is only one answer: we know that it is like this. . . 6 ) the waste of time for the next point . . . To sum up, as it is emphasized at the reception desk, the prices are SHERATON from Sopot and standards from Ustka . Write out paint, Polish galimatias in the worst edition . But it all depends on what you like anyway. . . I like an honest approach to the customer. Here we got 'em service at 2 stars, and they paid us for 5 stars. The advantages are also: parking for 30 zloty a day (added to the price of the room, apartment) and a large swimming pool ; - )"
8,"The doctor is rude and seems offended. But that is the least of the problems. Misdiagnoses, treatment completely misguided . On Wednesday and Friday - according to the doctor - ""nothing can be heard, nothing can be seen"" - so lipomalous and patting. And on Saturday afternoon the child is taken to the hospital with high temperature of congestion and dyspnea - diagnosis: acute pneumonia, acute bronchitis with obstruction, acute bilateral ear infections with purulent exudate! ! ! The doctors in the hospital could not believe that the day before that the child was in a pediatrician! ! !"
9,A very pleasant place worth recommending . The impression on the entrance itself is made by the hotel interior. I'll probably come back here. Near the old town where you can go for a walk and full of pubs and restaurants around. It's just a pity that the hotel bar was closed so quickly and a few guests were still sitting.
