,path,peft,md_nm,ds,up,train_date,test_date,machine,metric,score
0,"eval/24-12-03_{peft=lora, md_nm=flan-t5-base, ds=cockamamie, up=False}_Eval-24-12-04",lora,flan-t5-base,cockamamie,False,24-12-03,24-12-04,clarity2,accuracy,97.2
1,"eval/24-12-03_{peft=prompt_tuning, md_nm=flan-t5-base, ds=unhealthyconversations, up=False}_Eval-24-12-04",prompt_tuning,flan-t5-base,unhealthyconversations,False,24-12-03,24-12-04,clarity2,accuracy,55.6
2,"eval/24-12-04_{peft=p_tuning, md_nm=flan-t5-base, ds=tweeteval, up=False}_Eval-24-12-04",p_tuning,flan-t5-base,tweeteval,False,24-12-04,24-12-04,clarity2,accuracy,61.0
3,"eval/24-12-02_{peft=prefix, md_nm=flan-t5-base, ds=measuringhatespeech, up=False}_Eval-24-12-04",prefix,flan-t5-base,measuringhatespeech,False,24-12-02,24-12-04,clarity2,accuracy,46.5
4,"eval/24-12-03_{peft=prefix, md_nm=flan-t5-base, ds=wikidetox, up=False}_Eval-24-12-04",prefix,flan-t5-base,wikidetox,False,24-12-03,24-12-04,clarity2,accuracy,71.5
5,"eval/24-12-02_{peft=lora, md_nm=flan-t5-base, ds=measuringhatespeech, up=False}_Eval-24-12-04",lora,flan-t5-base,measuringhatespeech,False,24-12-02,24-12-04,clarity2,accuracy,27.1
6,"eval/24-12-04_{peft=lora, md_nm=flan-t5-base, ds=tweeteval, up=False}_Eval-24-12-04",lora,flan-t5-base,tweeteval,False,24-12-04,24-12-04,clarity2,accuracy,65.0
7,"eval/24-12-03_{peft=lora, md_nm=flan-t5-base, ds=wikidetox, up=False}_Eval-24-12-04",lora,flan-t5-base,wikidetox,False,24-12-03,24-12-04,clarity2,accuracy,81.5
8,"eval/24-12-03_{peft=prompt_tuning, md_nm=flan-t5-base, ds=cockamamie, up=False}_Eval-24-12-04",prompt_tuning,flan-t5-base,cockamamie,False,24-12-03,24-12-04,clarity2,accuracy,97.1
9,"eval/24-12-02_{peft=prompt_tuning, md_nm=flan-t5-base, ds=measuringhatespeech, up=False}_Eval-24-12-04",prompt_tuning,flan-t5-base,measuringhatespeech,False,24-12-02,24-12-04,clarity2,accuracy,29.0
10,"eval/24-12-03_{peft=lora, md_nm=flan-t5-base, ds=unhealthyconversations, up=False}_Eval-24-12-04",lora,flan-t5-base,unhealthyconversations,False,24-12-03,24-12-04,clarity2,accuracy,67.1
11,"eval/24-12-03_{peft=prefix, md_nm=flan-t5-base, ds=cockamamie, up=False}_Eval-24-12-04",prefix,flan-t5-base,cockamamie,False,24-12-03,24-12-04,clarity2,accuracy,97.1
12,"eval/24-12-04_{peft=prefix, md_nm=flan-t5-base, ds=tweeteval, up=False}_Eval-24-12-04",prefix,flan-t5-base,tweeteval,False,24-12-04,24-12-04,clarity2,accuracy,61.5
13,"eval/24-12-03_{peft=prompt_tuning, md_nm=flan-t5-base, ds=wikidetox, up=False}_Eval-24-12-04",prompt_tuning,flan-t5-base,wikidetox,False,24-12-03,24-12-04,clarity2,accuracy,63.8
14,"eval/24-12-04_{peft=prompt_tuning, md_nm=flan-t5-base, ds=tweeteval, up=False}_Eval-24-12-04",prompt_tuning,flan-t5-base,tweeteval,False,24-12-04,24-12-04,clarity2,accuracy,59.8
15,"eval/24-12-04_{peft=p_tuning, md_nm=flan-t5-base, ds=measuringhatespeech, up=False}_Eval-24-12-04",p_tuning,flan-t5-base,measuringhatespeech,False,24-12-04,24-12-04,clarity2,accuracy,26.1
16,"eval/24-12-02_{peft=prefix, md_nm=flan-t5-base, ds=unhealthyconversations, up=False}_Eval-24-12-04",prefix,flan-t5-base,unhealthyconversations,False,24-12-02,24-12-04,clarity2,accuracy,60.8
