annotator_id,text_ids
label_F_10,"[155, 58, 18, 25, 174, 43, 100, 87, 90, 74, 178, 16, 194, 34, 86, 188, 65, 150, 127, 110]"
label_F_11,"[188, 101, 119, 60, 109, 37, 200, 164, 138, 90, 84, 12, 177, 166, 116, 150, 73, 190, 41, 56]"
label_F_14,"[69, 108, 160, 178, 181, 171, 83, 116, 8, 5, 25, 70, 32, 121, 16, 134, 93, 124, 197, 10]"
label_F_15,"[87, 74, 197, 139, 147, 63, 76, 36, 149, 92, 69, 101, 102, 106, 191, 14, 159, 71, 109, 195]"
label_F_16,"[150, 124, 74, 8, 163, 18, 170, 133, 131, 140, 46, 85, 29, 165, 105, 47, 104, 115, 26, 132]"
label_F_17,"[148, 52, 188, 40, 191, 144, 76, 126, 108, 54, 187, 111, 143, 165, 152, 77, 96, 200, 136, 81]"
label_F_18,"[8, 145, 184, 144, 155, 143, 32, 183, 22, 130, 135, 23, 127, 200, 61, 45, 37, 104, 19, 194]"
label_F_19,"[38, 72, 122, 84, 150, 111, 32, 171, 149, 57, 180, 59, 131, 16, 39, 89, 139, 53, 159, 49]"
label_F_20,"[53, 87, 16, 142, 38, 128, 77, 9, 158, 125, 98, 112, 37, 26, 84, 180, 190, 61, 126, 146]"
label_F_9,"[141, 161, 15, 35, 50, 69, 27, 198, 37, 61, 121, 101, 58, 181, 160, 78, 59, 19, 102, 191]"
label_M_1,"[109, 134, 91, 12, 111, 27, 92, 174, 163, 79, 94, 72, 54, 89, 25, 98, 31, 119, 153, 156]"
label_M_12,"[186, 76, 183, 37, 57, 191, 130, 119, 35, 53, 21, 24, 18, 90, 82, 105, 74, 27, 110, 189]"
label_M_13,"[113, 64, 7, 24, 49, 152, 103, 100, 84, 29, 161, 185, 55, 12, 138, 122, 145, 181, 183, 149]"
label_M_2,"[25, 165, 184, 31, 4, 88, 147, 197, 196, 87, 101, 36, 115, 109, 106, 92, 54, 28, 157, 32]"
label_M_3,"[175, 145, 34, 3, 149, 143, 180, 23, 165, 35, 151, 123, 187, 190, 52, 67, 53, 166, 79, 146]"
label_M_4,"[27, 9, 72, 29, 93, 39, 37, 15, 19, 41, 181, 153, 174, 91, 168, 2, 177, 62, 60, 103]"
label_M_5,"[153, 23, 11, 184, 29, 68, 73, 156, 140, 175, 186, 162, 36, 187, 147, 114, 171, 60, 181, 132]"
label_M_6,"[67, 111, 139, 160, 199, 96, 130, 133, 22, 189, 50, 113, 100, 103, 191, 128, 19, 178, 127, 105]"
label_M_7,"[71, 79, 107, 116, 169, 105, 173, 179, 75, 39, 136, 16, 143, 47, 58, 15, 62, 108, 88, 188]"
label_M_8,"[192, 41, 151, 138, 32, 17, 96, 64, 28, 69, 68, 59, 21, 86, 5, 157, 129, 27, 30, 145]"
