annotator_id,text_ids
0,"[78048, 70299, 74132, 112598, 119255, 17861, 53116, 89735, 77080, 87855, 11258, 57403, 108786, 77465, 117305, 119897, 99585, 85997, 8414, 27988]"
1,"[115337, 18012, 101428, 9430, 104245, 25579, 56714, 792, 22169, 54189, 16934, 99247, 77062, 118719, 10041, 41426, 109634, 47039, 68817, 3489]"
2,"[94366, 38291, 46660, 116442, 41929, 8194, 75994, 36682, 40071, 43045, 106060, 17813, 99080, 98733, 71772, 91557, 79467, 56688, 73335, 37542]"
3,"[13970, 31796, 44404, 25660, 39621, 89239, 73800, 50500, 52783, 72101, 20199, 7600, 59316, 77410, 46311, 3284, 38020, 45941, 21104, 34294]"
4,"[55500, 71420, 47822, 81012, 61567, 30789, 72774, 60145, 9417, 3101, 42898, 12403, 62967, 14943, 61700, 56698, 52130, 93903, 41881, 107006]"
5,"[6880, 103392, 51894, 44680, 77232, 74239, 60830, 83783, 50007, 84115, 89050, 12684, 79415, 91248, 104560, 82813, 74227, 85618, 38159, 107166]"
6,"[101108, 116398, 100972, 76885, 31026, 35967, 18602, 20214, 96388, 51052, 61107, 88916, 119462, 109584, 3956, 48011, 3178, 75833, 104491, 48728]"
7,"[97264, 19137, 43128, 4508, 83228, 44480, 56029, 24324, 114071, 64028, 24567, 67475, 111403, 46110, 20785, 97607, 4195, 46175, 119042, 30382]"
8,"[54552, 70786, 118040, 55481, 114114, 114246, 69743, 119168, 116245, 27750, 27675, 1830, 100443, 91844, 26476, 38200, 46131, 92757, 40774, 18490]"
9,"[19149, 34816, 67039, 68454, 101305, 60989, 89586, 76034, 59687, 20197, 113151, 115845, 74775, 71954, 34972, 119804, 60389, 31844, 83446, 71091]"
10,"[57614, 8918, 23310, 99896, 65893, 14068, 5428, 17657, 86408, 54321, 7206, 19505, 40052, 116961, 107255, 51904, 2286, 76576, 109630, 29454]"
11,"[78301, 9589, 19385, 55876, 27751, 91023, 118051, 104645, 45845, 44401, 28305, 52701, 5904, 77210, 61467, 66911, 73668, 21195, 13800, 114126]"
12,"[27683, 98646, 92872, 60914, 8392, 118601, 61079, 105774, 89931, 22989, 99924, 33394, 96726, 57410, 95780, 25736, 62904, 82233, 17156, 35528]"
13,"[31916, 101498, 9665, 95184, 37159, 2857, 82608, 99077, 85317, 10881, 237, 104843, 117936, 3704, 91858, 22628, 67430, 8440, 52198, 76299]"
14,"[78647, 32696, 1631, 30066, 43776, 77511, 37696, 92532, 106702, 48759, 32279, 65139, 29601, 84270, 28574, 41531, 79709, 45688, 83024, 79043]"
15,"[102737, 95146, 70457, 57831, 51304, 99772, 107397, 110353, 19387, 76611, 7443, 106066, 7922, 5289, 24507, 84654, 68457, 110440, 81410, 8645]"
16,"[42667, 11669, 42017, 59727, 62769, 66116, 24667, 60396, 57674, 23025, 93030, 31074, 30258, 97078, 25593, 100593, 54562, 21775, 50793, 84116]"
17,"[9342, 57833, 56650, 21092, 73517, 41435, 33980, 102427, 95534, 67123, 116412, 56945, 32553, 92545, 75130, 118605, 57067, 14845, 66619, 92011]"
18,"[57168, 63808, 116216, 36185, 51007, 81523, 119067, 39806, 63605, 88223, 45240, 79071, 27301, 67924, 82825, 50384, 97505, 64111, 80408, 28867]"
19,"[89681, 43785, 103034, 37648, 76762, 80059, 10507, 64093, 80643, 101762, 95236, 96707, 109205, 77498, 3385, 94500, 31844, 18774, 84100, 116116]"
20,"[96796, 119594, 50018, 56847, 75721, 16545, 119603, 19022, 55561, 72167, 58718, 28868, 112028, 55643, 100589, 19943, 26221, 25431, 16567, 78811]"
21,"[24493, 83328, 35514, 14569, 11165, 4995, 100948, 20804, 96259, 13870, 70587, 29505, 30760, 71852, 113167, 95249, 55631, 92322, 39757, 50124]"
22,"[41380, 119089, 53342, 39679, 48510, 50069, 22516, 88214, 77410, 40561, 25628, 7018, 107258, 20599, 19538, 42835, 110778, 70985, 55540, 99560]"
23,"[78884, 24437, 68573, 46111, 50858, 103309, 59353, 56651, 37671, 20093, 97034, 24950, 112948, 63578, 94678, 11246, 93074, 50186, 12446, 72564]"
24,"[19597, 69327, 12108, 31062, 44014, 92312, 94857, 32105, 81414, 63809, 38343, 60557, 119445, 102192, 69085, 117241, 103531, 117527, 92225, 66742]"
25,"[76877, 2954, 41411, 119323, 9450, 78083, 109715, 118917, 50282, 66628, 79684, 96529, 57410, 44420, 66032, 66280, 69919, 119309, 2332, 106271]"
26,"[114695, 73902, 12676, 40561, 91486, 93296, 29648, 118084, 87037, 107743, 62170, 91171, 20969, 76927, 11003, 81943, 104769, 16072, 3173, 66248]"
27,"[53010, 113211, 61493, 41846, 86925, 82127, 109228, 10967, 45781, 37446, 8072, 92000, 65237, 109518, 10828, 45363, 28819, 89745, 97275, 81980]"
28,"[45131, 108338, 14180, 95309, 78871, 23694, 26726, 40511, 109376, 21494, 42820, 47267, 100618, 111773, 13948, 53151, 30902, 70894, 105841, 49748]"
29,"[84092, 45361, 16554, 84469, 40257, 4224, 28396, 28536, 10280, 91785, 57345, 27274, 28775, 56698, 58473, 103589, 66906, 49165, 55979, 20174]"
30,"[28321, 79155, 98858, 109663, 55421, 30464, 49410, 20390, 48224, 68450, 51147, 96117, 16214, 86057, 39155, 29619, 117000, 33992, 1112, 49667]"
31,"[70500, 85217, 21771, 32914, 84654, 42010, 50285, 60856, 80898, 57345, 51774, 36580, 44143, 92474, 105911, 35108, 22356, 44749, 84579, 1134]"
32,"[104101, 11336, 30768, 69359, 92333, 7611, 22751, 49566, 113620, 97763, 118793, 51333, 69410, 11940, 49980, 55906, 36592, 93468, 103957, 59659]"
33,"[118411, 34210, 46664, 105555, 14718, 42896, 47526, 7168, 83819, 113424, 87000, 91341, 70055, 118109, 79841, 66279, 60118, 96261, 54909, 46440]"
34,"[98626, 50517, 113151, 11693, 20750, 112579, 2922, 101410, 47094, 4667, 33465, 106256, 44916, 32658, 13280, 41987, 18856, 51615, 10696, 23077]"
35,"[50551, 65656, 43419, 9155, 117855, 23371, 111045, 58158, 39303, 73626, 41497, 25144, 28534, 85864, 82557, 104651, 37240, 92528, 61169, 10291]"
36,"[17033, 98385, 45949, 5211, 59048, 83744, 7874, 14863, 9464, 98678, 28088, 77245, 84505, 37016, 92852, 21653, 116086, 38704, 54585, 83449]"
37,"[99773, 31995, 81415, 115145, 37732, 1556, 33702, 11789, 20436, 59653, 78497, 9059, 108588, 37621, 119647, 86719, 97798, 71637, 73458, 5331]"
38,"[73680, 109377, 72526, 10174, 70292, 30780, 29119, 46323, 77410, 107541, 7256, 3705, 118166, 42498, 60205, 50132, 75964, 98601, 4012, 71521]"
39,"[102155, 5321, 22952, 109708, 65123, 28576, 40157, 82827, 19720, 72134, 81921, 91486, 43287, 72815, 113459, 36915, 89987, 58925, 40602, 74515]"
40,"[90561, 81189, 50937, 78462, 7333, 117077, 111340, 84281, 8690, 82549, 58191, 55404, 55730, 84386, 102812, 58958, 94788, 73518, 111264, 89289]"
41,"[30971, 119615, 107659, 79490, 104892, 71349, 81184, 30599, 72090, 78975, 14508, 8145, 104493, 91871, 77274, 20175, 73714, 51760, 22459, 23675]"
42,"[62443, 101943, 97514, 10174, 43459, 40353, 28518, 95830, 26650, 19771, 107006, 23433, 89985, 23823, 103524, 48550, 18645, 51318, 65234, 98271]"
43,"[104551, 60577, 90391, 31298, 109872, 105239, 35289, 73327, 26663, 109655, 78076, 2285, 89271, 41735, 64265, 71252, 33393, 67936, 65860, 35815]"
44,"[109829, 92921, 82495, 57427, 96023, 63753, 59692, 94053, 32917, 87516, 94380, 14860, 47935, 101343, 93235, 42212, 91651, 26883, 96780, 37326]"
45,"[8613, 42017, 111236, 5384, 112604, 60645, 7312, 73654, 77475, 22674, 44327, 44313, 41621, 26666, 82602, 69338, 19387, 116802, 37423, 31958]"
46,"[91368, 72374, 82502, 65860, 35043, 28980, 63623, 8661, 83915, 84618, 71446, 86552, 88341, 42902, 74804, 83061, 7449, 96060, 117733, 57887]"
47,"[72919, 97633, 79719, 98001, 24478, 75078, 27735, 110368, 79065, 104182, 82528, 75111, 76573, 99777, 65229, 18240, 97238, 109715, 82535, 19784]"
48,"[23065, 52045, 119156, 77735, 18001, 95391, 12405, 37639, 116738, 15146, 43776, 31473, 54349, 34412, 23694, 24286, 99370, 116433, 45148, 33070]"
49,"[66549, 13950, 58894, 25738, 76723, 28327, 48676, 225, 44460, 23794, 116111, 84953, 31252, 69279, 50186, 99788, 59965, 109632, 51096, 19381]"
50,"[118265, 36644, 42017, 73485, 17526, 8163, 464, 23341, 50667, 38244, 100501, 1460, 101515, 96426, 92978, 38854, 11624, 19162, 42436, 24045]"
51,"[117389, 23175, 87076, 3177, 116412, 99186, 49342, 49612, 61919, 90270, 68141, 83028, 30807, 43062, 90722, 33056, 47081, 104639, 92307, 78161]"
52,"[4878, 9730, 19768, 78670, 80796, 1320, 62326, 112205, 35146, 77811, 55410, 58645, 116175, 44059, 113165, 107684, 27956, 55303, 39843, 15247]"
53,"[42748, 98235, 7019, 15325, 104256, 106391, 83215, 28615, 100870, 99654, 71303, 10880, 58150, 107165, 12097, 30768, 67071, 68456, 7018, 66967]"
54,"[30892, 32296, 49391, 78966, 56037, 118263, 19901, 91006, 67003, 106704, 4240, 119915, 94120, 1390, 61876, 87215, 50624, 82164, 37021, 3705]"
55,"[41867, 100267, 8467, 4882, 108381, 42491, 18390, 110885, 49686, 48583, 98745, 65040, 109441, 90281, 74492, 60263, 74085, 44543, 2855, 35943]"
56,"[17212, 84630, 95319, 110819, 96848, 36268, 7045, 3705, 71809, 23110, 67867, 109584, 90484, 88521, 79111, 106078, 55051, 42706, 96278, 119535]"
57,"[84509, 30126, 51528, 56483, 105061, 103881, 88648, 76101, 21488, 53323, 28580, 18192, 84497, 932, 51105, 40869, 44404, 84481, 33269, 46407]"
58,"[119872, 41285, 104730, 28329, 36192, 346, 25073, 61334, 36136, 64904, 53086, 18161, 57056, 70919, 59135, 40425, 97990, 77244, 63250, 7175]"
59,"[80472, 56467, 67630, 39866, 86144, 100579, 40899, 115547, 96023, 44410, 21295, 73861, 107267, 59685, 53274, 90001, 115297, 117468, 74454, 98866]"
60,"[13560, 31912, 56698, 84706, 49354, 24745, 30997, 51321, 37111, 67227, 113567, 118486, 99097, 116960, 97521, 51676, 7693, 40901, 86241, 38566]"
61,"[32963, 115087, 76793, 112136, 88551, 34056, 44410, 24016, 76704, 91030, 95625, 116960, 11922, 58577, 73087, 91438, 64189, 43196, 23311, 34815]"
62,"[99075, 83492, 57811, 90429, 72219, 56273, 114677, 67374, 6259, 85784, 17657, 9678, 33473, 2335, 18384, 92187, 76148, 107072, 65481, 35956]"
63,"[23114, 49465, 53475, 56966, 77039, 68081, 119057, 76234, 45241, 102885, 69195, 66618, 80483, 83966, 88504, 11296, 82274, 109048, 2330, 33176]"
64,"[70430, 7024, 65808, 1429, 31818, 5321, 60782, 15896, 74072, 3707, 43769, 30793, 44404, 118774, 14903, 5816, 69361, 101168, 20345, 8358]"
65,"[107072, 77867, 50366, 104595, 27027, 91435, 43886, 88990, 101756, 13922, 79902, 50867, 112947, 37861, 3812, 90690, 75204, 75930, 93048, 40190]"
66,"[66197, 39051, 41625, 81067, 64046, 18927, 31779, 43198, 89798, 60457, 1250, 1389, 12658, 105651, 30472, 9547, 87019, 99176, 70882, 40561]"
67,"[28868, 86318, 96261, 31970, 67364, 103143, 8146, 11324, 52820, 52249, 5408, 78880, 59142, 13945, 99166, 362, 98425, 109192, 72574, 119399]"
68,"[24249, 21620, 8965, 108384, 83282, 41524, 84157, 30499, 63847, 1891, 201, 41177, 17593, 2437, 14180, 26654, 44844, 16277, 40975, 14584]"
69,"[67071, 108014, 57517, 26390, 64872, 31833, 111508, 53532, 75203, 32259, 6280, 27223, 77039, 37922, 53210, 67737, 44155, 70807, 109779, 90035]"
70,"[2803, 87809, 61706, 7427, 49133, 77916, 117462, 117279, 54866, 40767, 100162, 12677, 110926, 82584, 19203, 2897, 14180, 119445, 101119, 36912]"
71,"[60902, 34024, 60311, 69026, 87286, 27131, 17031, 23697, 103801, 106844, 4240, 73106, 114521, 109200, 50329, 57549, 65860, 114027, 38466, 116401]"
72,"[57366, 57373, 34798, 90511, 54743, 74917, 76091, 117532, 61023, 74150, 72553, 97548, 2460, 105956, 60088, 79013, 107072, 102241, 49611, 118392]"
73,"[38274, 33880, 77797, 114323, 46556, 90324, 99273, 7019, 31186, 109715, 40150, 27005, 78869, 81334, 71389, 50596, 58726, 111756, 25582, 97483]"
74,"[21183, 36349, 7084, 17657, 30884, 62511, 21669, 23702, 69018, 92529, 11059, 9355, 95630, 90646, 61332, 77289, 15418, 109872, 31584, 837]"
75,"[44251, 8973, 67395, 78868, 78506, 6726, 42079, 111438, 28793, 51262, 44410, 24243, 31444, 11648, 82837, 102187, 62659, 70494, 37266, 39264]"
76,"[30158, 106824, 70415, 53763, 55208, 71846, 86223, 80294, 72329, 13255, 103156, 34298, 88050, 118110, 23745, 7019, 67382, 81358, 69368, 86409]"
77,"[110435, 61402, 89062, 22830, 29811, 117077, 49534, 96969, 22799, 18024, 111745, 110700, 60302, 16543, 37233, 73017, 86307, 117277, 36462, 52688]"
78,"[19819, 33491, 66109, 19381, 87573, 57191, 114755, 117501, 57579, 70697, 43836, 100020, 97279, 78901, 57427, 2355, 72675, 57799, 6838, 3292]"
