annotator_id,text_ids
55057a56fdf99b5b566a70bb,"['fjcfiut', 'fj67egv', 'fjcbyzn', 'fjdhtsd', '1580535718249517056', 'fj8aceo', '1578354586444001280', 'fj91xh4', 'fjbv84c', '1572368267880054785', '1579721166516031488', '1579729940236636162', '1572500004547465216', 'fj50jvj', '1579862368510963712', '1578319848333246465', 'fj70x00', '1579493023440056320', '1537739020997992453', 'fj545yk']"
55b75944fdf99b6e0c49981b,"['1579206705816416256', '1579904821766672384', '1578316893198307329', 'fj9ig1z', 'fj964ft', '1572500722096439297', '1579718458392342528', '1578544554331951104', '1578390545998614528', 'fj53pql', 'fj61k6d', '1542166847398739968', 'fjchxx3', 'fj5cjw2', '1578338475841290240', 'fj5kprv', 'fj928jj', '1579758149749604353', '1580525745688178688', 'fj91qqg']"
5721b3054d5b26001301f651,"['1572500537064689665', '1538247149451878403', '1578285644056780800', '1538839447827103744', '1572514088089165824', '1579054370011766786', 'fj6n9vj', 'fjao5e5', '1580526450050232320', '1572561315880902656', 'fj5ahbn', 'fj54pwp', '1538464715462025219', 'fj5c0s6', '1579869421119864832', '1579736919558483970', '1578550524084789248', 'fj85v4k', 'fjan1dk', 'fj5e4oc']"
57507e67fcaa630007cb9ad2,"['fjbf6mw', '1578689071643525122', 'fj8739e', 'fjedl06', 'fj5z0ms', '1579919636325621760', '1579729816881745921', '1578293585006325760', '1580489644562874368', '1579749408358666242', '1572330713697091585', '1580499792949485568', '1572579445814489088', 'fj6expb', 'fj9hsca', 'fj548vr', '1572499963065831427', 'fj5bpte', 'fj5d5wd', '1538156112582782976']"
599eaf0fbfd73c00010ea24e,"['1578344527299235840', '1538151928005271552', 'fjbsgxd', 'fj6bs67', '1538431172614791172', 'fj5dz7n', 'fj5q591', 'fjaq70r', 'fj65hzw', '1538243402483089408', 'fj5c23h', '1537552537053802501', 'fj52rri', 'fj7oopm', '1572501306241331203', 'fj5446b', '1572561986994728960', 'fj9t02q', 'fj58sik', '1538336775785299968']"
59b94b6211212f0001cd118a,"['fj5cknd', '1578271776408145920', '1572500350321524737', 'fj52q73', '1538276220286156800', '1579756168938807296', 'fj61c6o', '1578268768593059840', '1579052493589614592', '1578244669766438912', 'fj7uwuz', 'fj9cq0b', '1572561143708938242', 'fj7lzl7', 'fj5bm7r', 'fj98hoj', '1578187910007824384', 'fj553he', '1572561635633692673', '1578285111513993216']"
59fc8aba087f2e0001ead671,"['fj7rs3j', 'fj597f5', 'fj6v3nv', 'fj70x00', 'fjcqrzs', 'fj6eilp', 'fjcvgsx', 'fjaao73', 'fj6935l', '1580554710364278784', 'fj5df0f', 'fjcslqp', '1577779385301872640', '1572499247416901632', '1579896862667993088', '1572509244561436673', 'fj57vfp', 'fj6a6wr', '1580525913695227904', '1580021779246231552']"
5a2d62ae5dba1200014b0362,"['1572268761708740608', 'fja8kn7', 'fj9huus', 'fjac52d', '1580526036919279618', 'fj55clv', 'fj775u2', '1579713455678193667', '1572501162427035649', 'fj9el71', '1578880371412066304', '1572500212886773760', 'fjeimc8', 'fj94uqq', 'fjaz4zu', '1572369421108408321', '1537823039659843585', '1579708046896660481', '1578593464539033600', '1572500215822798849']"
5a8703fa17ef35000170998a,"['fj99nkq', '1538253676292210688', '1580526275139358721', 'fjae945', '1578376283331133440', '1578331679613079552', '1579833811311165441', '1578337228777918464', 'fjb0bif', '1579919170661408769', '1578281747342823425', 'fjamxaz', '1579734218888052738', 'fj98u2q', '1572501203753504768', 'fj9b27z', '1572500010851532802', '1580528064643051520', '1579065668187885568', '1580474056100306945']"
5ac5ced0e1546900019c0837,"['1572561001962438657', 'fj54pwp', 'fj7yl3q', 'fj5gjoy', '1572562046075666434', 'fj9ab29', '1578318161258369024', '1572511137358565377', 'fja6y5h', 'fj8nj5i', 'fj91y0b', '1578380301096472577', 'fj9dfbj', '1579106496121823232', 'fj8gbgt', 'fjb90b8', 'fj72ih2', 'fj5hpfp', 'fjcvxbs', '1572502860600057856']"
5b6a87d2cda8590001db8e07,"['1578218864756023296', 'fj50bdp', '1572501692163452928', 'fj5b7q0', 'fja6kga', '1538306762281037826', 'fj9101n', 'fj65fyu', '1580375776687403008', '1580556628247465986', '1579348195175731201', '1578524757464518656', 'fj6qzhq', 'fj5bv28', '1580395495994060800', '1580407553665937408', '1537856299790127106', 'fj53zwv', 'fj5alox', '1579402407695749120']"
5bb6faf4f6d0bd00019e12f4,"['fj5drkr', '1572558550832152577', 'fjaa1by', '1578330832804392960', '1572576635723083776', 'fj6tz7u', '1578332599876915200', 'fj9epea', 'fj58nc6', 'fjejqdg', 'fj593ca', '1579525516759306240', 'fj5b15v', 'fj5b2td', '1538218056840798209', '1579130128634114049', '1579335284726333440', 'fjb6q75', 'fjcjunu', 'fjca24r']"
5bf7063eab2bef00013ea5a1,"['1538235775757737984', '1578298423371259905', 'fjcbl8o', '1579749408358666242', 'fj6tgjs', '1572503090645061636', 'fjcpnr3', '1538448550924734464', 'fj5r9q3', 'fj575pq', 'fj6t17u', '1572489621849755648', '1572447347933851650', '1580438283804610562', '1572561292170502145', 'fj9huus', '1579727861396955137', 'fjahqp2', '1579731315259478017', '1579792875801698306']"
5c3c1728bc64440001349812,"['1579731016847327233', '1579730935008071680', 'fj542zz', 'fj6dox2', 'fj5dd63', '1579390307028041728', 'fj576xr', 'fj9lnpp', '1572499950386417668', 'fj9kp26', '1579057180577144832', 'fj51539', '1534755822562967553', '1579716607030751233', '1572355728815554560', 'fj72tx3', 'fj9plzf', '1572516549730402306', '1572509244561436673', 'fjcslqp']"
5c47a4199b931f00010cd8ba,"['1580526011048869888', 'fj7ptbm', 'fjcqqnz', '1578319848333246465', 'fj56x19', 'fjeh26v', '1579717521204449284', '1538574829942718464', '1538255178498990083', '1572468535456305155', '1579719919822073856', '1579821738271346695', '1578273487776407552', '1580132988410478592', '1579919636325621760', '1579045709088952321', 'fj50bdp', '1572502685789868034', 'fj66mpz', '1572480856056561666']"
5c4f91fd97483d0001567f1b,"['1580527475024867332', '1579175936422912000', 'fj594sc', 'fj71864', '1578470336399519745', 'fj71m8m', 'fj68wyn', 'fja58rb', '1579725059555753984', '1579720277877223424', '1572501040456667136', 'fjacwyq', '1580521729109413894', 'fjej5eq', '1578593464539033600', '1579702912577830913', '1538606344680443904', 'fjamdt1', '1572499713039167490', '1579876519992000512']"
5c50ccae2423780001085cb9,"['1579728177144172545', 'fj90gdq', '1572561216928874498', '1578333096168292352', 'fjdmjog', 'fj5aysi', '1580516154749353985', 'fj6expb', 'fj7u6t0', '1578332599876915200', 'fj57p3i', '1580541736597991424', 'fj815z6', 'fj5cidy', 'fj99kst', 'fj924zz', '1572546786774110208', 'fj58wcu', 'fj625uz', '1572500733286846466']"
5c6318e52c4f7600018e1687,"['fjaorbz', '1572493170134614016', '1578291742826065921', '1579727380608077824', '1579723372359225344', '1572373522642526208', 'fj9xw9k', '1578449215663280128', 'fj9o8n2', '1578492728555757568', 'fj60g4m', 'fjeh26v', 'fjauwp1', '1538784833312378880', '1572561031708409861', '1580529861105311745', 'fj6b77i', 'fj55clv', '1572505221385027585', '1579739253919318017']"
5c66d6a50d7f5f00014b8ab0,"['1572420090980605952', '1579754338444283904', 'fj5ys5b', '1538200745547374592', 'fjasu0c', 'fj9v5ov', '1580549653988225024', '1578283752522149889', 'fjcnk3s', '1572525341159354369', '1579756168938807296', 'fj6z7hb', 'fjc36qh', '1579753411146579969', 'fj6tz7u', '1578338717692964864', 'fj85v4k', '1578273961502076928', '1580525352447021056', '1572501306241331203']"
5c7ceda01d2afc0001f4ad1d,"['1579064544588025857', 'fj6otfq', 'fj9bdej', '1538186859981033472', 'fja20mu', '1572561148721102849', '1538575018275135488', 'fjb5zjn', 'fj8d9y3', '1579755697281339392', '1538200978243059715', '1578297078140129280', '1538235775757737984', '1572505221385027585', '1579716104318242821', 'fj6x583', 'fj9dp8x', 'fj77zkk', 'fj994h9', '1579847273663827969']"
5d4c308d066b22000121f699,"['fj63v8f', '1572561114801799168', 'fj964ft', 'fj93etz', 'fjcgopx', 'fjcl5i7', 'fjcu4vq', 'fjca6sv', '1572500537064689665', '1577573234412687360', '1578482432872890368', 'fj9x97m', 'fj51pww', '1572490735051571201', '1579754053709754369', 'fj5ce0v', 'fjcsnvb', 'fj921dg', 'fj536wn', 'fj92lp5']"
5da1efa20b299d0017df1c0b,"['fj9uego', '1579093445859512320', 'fj801y8', 'fj5od6k', 'fjdl643', 'fj65dsd', 'fj95zf1', '1538273986311766026', '1579750125211381761', 'fj5bydf', '1579733159494979587', '1572492756739624960', 'fj5bd2o', '1580538038123638785', 'fj9tudp', 'fjcmgr1', 'fjcoytx', '1579749925466038274', 'fjc1hmh', 'fjcuo9i']"
5dcff5909595a10f6241c0f6,"['fj9q9l9', 'fj538sx', 'fj5kug6', 'fjbiutf', 'fj56n5c', '1578279226104377345', '1578143822990622720', 'fjauwvm', '1578285778941382656', 'fjad8po', 'fjcbgt4', '1572500957480751104', 'fj9ct25', 'fj71hqi', 'fjeolh4', 'fjb5jd5', '1572409033679683584', 'fj95fg0', 'fj542ct', '1580438283804610562']"
5e234c1ddbc6705fd958e45c,"['fjatnhf', '1572561336370098176', '1579752486394826754', '1572349551247527938', '1538156112582782976', '1572492316908060672', 'fj685vn', '1572390400953925634', '1580520535066574848', '1578343461207429121', 'fj7q9rw', '1579446649830899713', 'fj6191g', '1580532612577492992', 'fjckmcr', '1577875175684509696', '1578374883922575360', 'fjbutri', '1579758197686284289', 'fj5aysi']"
5e387f2c0d70ef099d5e5a4f,"['1580029718228742144', '1538193993401606146', 'fj9mvac', '1578284220858134534', 'fj9ov55', '1579887576189923331', '1572561205189050368', 'fjbprso', 'fj65hzw', '1572474168888954880', 'fj6chfo', '1580525611130400768', 'fj9d1eq', 'fjcpv0t', '1572561153506816004', '1572560235264614400', 'fjctxp2', '1580534897914937345', 'fjb3m9g', 'fj5c88v']"
5e45a7e926e79c000bc12a85,"['1572500721874145280', 'fj65psv', 'fjc7j6q', '1580015843953766401', '1571020050043408390', '1580134878913638400', '1578306887472119808', '1572561176420323328', 'fj5e8r4', '1572257151242076162', 'fj655vo', '1579706714559238144', '1579729167197016064', '1580303793542995968', 'fj6fos6', '1579066339280687106', '1538205460444110848', 'fj7ym6j', '1572561243130712068', 'fj6bcae']"
