annotator_id,text_ids
29,"[6214, 718, 13064, 10831, 11727, 3944, 851, 12505, 297, 2587, 17596, 697, 13582, 11936, 18607, 2719, 14664, 7258, 3379, 14074]"
36,"[2405, 1467, 5203, 12264, 1156, 12727, 2361, 1737, 5826, 160, 13041, 1363, 5247, 4670, 4407, 1671, 9887, 1163, 1099, 309]"
49,"[3043, 2536, 3869, 7089, 3874, 3475, 536, 297, 4, 2033, 4852, 2714, 6449, 291, 1960, 2884, 697, 6982, 3560, 5367]"
59,"[5553, 12760, 6371, 1986, 8654, 8536, 193, 762, 5835, 15586, 5143, 1887, 6162, 17283, 1502, 90, 18103, 2312, 1131, 12927]"
61,"[697, 986, 15076, 1874, 1720, 15006, 14228, 7512, 15242, 5996, 5247, 22886, 21182, 12183, 951, 3213, 7467, 3223, 15822, 1307]"
71,"[6113, 820, 2897, 31, 2615, 1216, 577, 297, 775, 32, 1399, 2827, 762, 2776, 1250, 7087, 975, 240, 2115, 2223]"
106,"[16884, 10986, 3913, 1782, 249, 5873, 9313, 5488, 3327, 11300, 13221, 2361, 12034, 634, 7774, 6422, 269, 13971, 775, 851]"
244,"[269, 5488, 4920, 1082, 3906, 4152, 414, 3385, 2751, 3223, 3274, 2776, 5873, 5532, 1399, 7574, 2699, 1573, 1720, 4045]"
345,"[3348, 3141, 1363, 697, 2344, 210, 2587, 1874, 959, 2, 2897, 1894, 975, 2306, 825, 1960, 127, 1804, 4100, 4189]"
381,"[7874, 4365, 3744, 5502, 2539, 3938, 1539, 1216, 3944, 3547, 7474, 6011, 11946, 6449, 4425, 1633, 9702, 1913, 2183, 718]"
391,"[17253, 3952, 18756, 4350, 10516, 677, 18375, 13041, 15586, 13064, 959, 16503, 12841, 3534, 718, 13899, 17869, 18812, 7266, 2699]"
455,"[3573, 22949, 2204, 12604, 24098, 11843, 4776, 23214, 17681, 3060, 1573, 13698, 1913, 1586, 26102, 5274, 5065, 5045, 16487, 2312]"
468,"[10182, 5850, 7727, 2699, 269, 7315, 11871, 1556, 9557, 12420, 3221, 11218, 8448, 9765, 5543, 2137, 2539, 11415, 7064, 2750]"
486,"[8916, 18650, 5143, 7994, 18180, 18881, 15822, 993, 3573, 8982, 25838, 7905, 14821, 5759, 2883, 2802, 14535, 7100, 26378, 6113]"
488,"[5050, 6202, 7897, 5502, 2951, 4498, 9782, 14459, 8772, 1539, 5435, 3221, 6898, 4632, 3906, 2312, 6654, 6036, 7044, 6011]"
556,"[15439, 5050, 2699, 3658, 13133, 20756, 19512, 15046, 9255, 7905, 13795, 18386, 16139, 4996, 14664, 1307, 15705, 3457, 16018, 5203]"
1599,"[10641, 4618, 3379, 9693, 22092, 24098, 9426, 26459, 3265, 5326, 12149, 22414, 9708, 3654, 5481, 2298, 5236, 775, 26791, 7064]"
1652,"[3429, 5391, 2951, 1087, 3092, 2868, 3060, 2539, 1780, 2750, 603, 3833, 4425, 2047, 2306, 825, 301, 3017, 4225, 875]"
1665,"[23655, 15242, 7116, 15658, 6565, 4087, 22172, 7037, 7474, 6550, 1986, 13889, 10500, 6788, 7154, 11005, 1713, 9593, 5996, 15201]"
1712,"[3573, 2361, 11730, 3221, 3213, 7482, 4350, 14196, 2061, 2382, 17253, 5515, 2751, 7337, 15109, 15407, 1139, 4225, 5435, 16091]"
1768,"[11467, 1099, 2536, 2719, 4425, 13628, 3457, 2539, 11218, 3560, 2761, 6113, 12528, 12760, 14821, 16953, 14615, 5759, 2382, 9852]"
1871,"[7315, 26102, 8377, 15407, 3833, 15971, 18375, 7652, 2883, 8529, 26378, 18203, 13580, 1894, 12381, 22000, 901, 9953, 1539, 7542]"
1993,"[13464, 6080, 986, 6371, 12006, 8473, 2223, 7652, 13384, 12264, 12415, 15541, 10782, 2306, 11613, 4147, 536, 11107, 4350, 10654]"
2123,"[8845, 18756, 3221, 19283, 2802, 8824, 3141, 15570, 6753, 10551, 2883, 15348, 993, 3294, 1307, 17147, 26791, 1894, 5326, 1272]"
2167,"[2047, 3697, 1913, 2235, 1804, 2991, 2033, 2750, 2970, 3053, 1148, 2632, 2340, 3762, 3457, 2714, 2435, 4087, 1960, 2761]"
2347,"[6654, 6217, 14219, 11202, 12149, 6565, 6882, 12435, 6560, 6697, 7574, 7052, 6817, 17993, 6880, 90, 6487, 9450, 6550, 7037]"
2708,"[4734, 5164, 1800, 2361, 1819, 2183, 3221, 4610, 2991, 8314, 2884, 5759, 2951, 6814, 8034, 1841, 3322, 4812, 7519, 5716]"
3057,"[5571, 5835, 5703, 1959, 5045, 4951, 7154, 5515, 12149, 5683, 12211, 12277, 4147, 2719, 9473, 10148, 2615, 16731, 13464, 5543]"
3150,"[16503, 15348, 10782, 9036, 13989, 9593, 11165, 10295, 11069, 13547, 13071, 10654, 10428, 12827, 9533, 10914, 11506, 11008, 10894, 9739]"
3171,"[20616, 14821, 11467, 19213, 6164, 6654, 10782, 8034, 7289, 4087, 7413, 8243, 7064, 6928, 1913, 9051, 2802, 7100, 9016, 15348]"
3375,"[4045, 17915, 18375, 19283, 16503, 10182, 5306, 11570, 10176, 23532, 9739, 12827, 8759, 5894, 10799, 5391, 18468, 6827, 2061, 12491]"
3486,"[11880, 11739, 5236, 5435, 5164, 6422, 9702, 2539, 12002, 12034, 5220, 7652, 7131, 12395, 5020, 24065, 5502, 5835, 9467, 11869]"
4084,"[6127, 4189, 2687, 4504, 2632, 4618, 4920, 3560, 8903, 9103, 3807, 4069, 2970, 8422, 8387, 6036, 5174, 8334, 4401, 3385]"
4188,"[20725, 18428, 10782, 15730, 4443, 21808, 23171, 18091, 3996, 19279, 18518, 8536, 6005, 18812, 20166, 16740, 9798, 17641, 14042, 3265]"
4366,"[11197, 9581, 8467, 10589, 9595, 12827, 8529, 11076, 11008, 9309, 22414, 12841, 11243, 9852, 8334, 9259, 9593, 10969, 8903, 11157]"
