annotator_id,text_ids
2,"[1073, 16, 45, 1014, 45823, 73, 12749, 2447, 70508, 322, 77438, 3027, 3354, 15, 70970, 3991, 1009, 23531, 347, 4041]"
3,"[18628, 1701, 808, 27717, 36829, 5991, 301, 368, 6509, 30014, 11553, 1641, 13284, 7987, 3791, 45, 100328, 4155, 1037, 2713]"
5,"[15842, 9187, 5527, 15500, 11824, 431, 17859, 1180, 15366, 52, 30411, 5432, 23516, 4563, 10268, 15285, 7964, 5269, 14923, 28398]"
21,"[8814, 9728, 3898, 4692, 18375, 4501, 25722, 9972, 1516, 19096, 190, 2597, 10319, 92, 40760, 2024, 1408, 1528, 1652, 6004]"
37,"[629, 3772, 5293, 716, 14641, 4996, 4781, 6004, 762, 2277, 13696, 4244, 302, 645, 2645, 6589, 3408, 1608, 1215, 7746]"
67,"[2450, 16441, 8745, 10250, 2234, 3363, 8955, 6376, 3027, 2405, 3894, 4844, 2799, 2404, 2965, 2071, 8814, 4445, 3454, 2443]"
68,"[6812, 1395, 420, 1178, 762, 650, 7625, 1140, 934, 4844, 1309, 6635, 1161, 2713, 2024, 1741, 2143, 1608, 6865, 6782]"
69,"[7331, 474, 431, 11625, 3898, 1265, 2405, 629, 3791, 2473, 4445, 3515, 4898, 4467, 4414, 7872, 1641, 1129, 2365, 6709]"
71,"[1352, 7786, 352, 1083, 4, 4996, 485, 4623, 729, 1731, 18222, 4737, 786, 1259, 2683, 252, 6589, 394, 16052, 13653]"
87,"[650, 2143, 863, 3670, 583, 3587, 3491, 1703, 4055, 301, 884, 1696, 1780, 1037, 711, 857, 2645, 893, 2773, 3660]"
128,"[1065, 1553, 3635, 3528, 2773, 5991, 3219, 10153, 8129, 3034, 2799, 1879, 3268, 4898, 3248, 4563, 2713, 5175, 1773, 5860]"
145,"[3354, 1899, 8498, 7927, 5645, 6812, 6041, 2549, 9242, 4946, 4191, 3358, 2404, 7480, 4798, 10238, 3027, 5003, 3796, 3432]"
161,"[26552, 4130, 37081, 9944, 3515, 2424, 21874, 8826, 7805, 1083, 7506, 4041, 773, 2143, 6894, 27134, 8498, 106278, 2836, 8646]"
170,"[29179, 9053, 80331, 69151, 78740, 75284, 7210, 62608, 3083, 64408, 7489, 89670, 4431, 64273, 3760, 2387, 23192, 3363, 20593, 18250]"
184,"[2683, 2443, 2473, 27621, 27751, 2143, 4986, 27578, 2465, 2778, 4734, 4737, 3826, 5003, 6920, 1818, 1797, 3034, 3460, 4844]"
200,"[8186, 87750, 14639, 884, 3454, 5817, 4839, 5860, 13844, 15998, 3587, 43681, 301, 762, 786, 21799, 22820, 4501, 15360, 2951]"
205,"[3159, 7395, 3409, 14660, 3813, 1371, 7531, 3382, 8129, 3354, 12527, 33409, 4414, 3587, 5991, 3248, 4920, 4213, 8795, 3515]"
272,"[7279, 6692, 8380, 7775, 8158, 8857, 4, 10540, 8854, 252, 8814, 5794, 5052, 8309, 6967, 8842, 5991, 299, 8859, 6709]"
369,"[22272, 29045, 7462, 8270, 8231, 7148, 4078, 10250, 7470, 11290, 7554, 4037, 8186, 7531, 12874, 173, 6692, 8129, 792, 11807]"
