annotator_id,text_ids
1,"[27502, 20007, 38829, 16368, 2340, 31029, 5609, 20055, 49792, 46999, 40284, 20034, 2032, 20029, 25691, 25897, 20019, 20059, 19513]"
3,"[20013, 20016, 26033, 20056, 15680, 16353, 20035, 27160, 20034, 10094, 20059, 7815, 25643, 8559]"
4,"[23715, 20058, 8135, 46898, 32698, 39387, 20008, 29676, 8296, 48716, 22102, 20018, 20070, 20066, 16211, 40050]"
5,"[20006, 12973, 21184, 227, 20033, 1925, 42715, 20047, 20064, 343, 25937, 1899, 35845, 20019, 2419]"
6,"[20021, 17827, 27844, 20027, 23728, 20008, 11627, 9598, 44573, 20001, 10262, 19859, 44569, 20062, 9070, 12245, 20048, 34437, 41065, 34958]"
7,"[9238, 20002, 2614, 499, 8008, 20949, 13997, 20036, 5400, 20048, 20495, 20061, 45773, 46358, 125, 38437, 48096, 36747, 20024, 20006]"
8,"[20063, 11210, 32087, 13774, 23607, 13582, 20020, 20045, 31868, 20011, 47411, 8341, 975, 9371, 10788, 19238, 20037, 5061, 22714, 33451]"
9,"[9445, 42168, 25381, 25363, 13748, 25680, 42346, 7698, 36452, 20062, 20013, 32166, 14143, 20022, 20045, 39638]"
11,"[40619, 20016, 14651, 11138, 20061, 20002, 6602, 46079, 15818, 5533]"
12,"[20012, 41416, 14361, 38777, 20014, 20061, 46517, 35287, 16273, 20031, 23149, 6304, 42935, 5163, 9902, 38378, 20011, 25929, 20052, 7238]"
14,"[16216, 45629, 20053, 20013, 35061, 10311, 25847, 3940, 9692, 20064, 44272, 40845, 34349, 26235, 48953, 20043, 7323, 20068, 20018, 49584]"
15,"[23135, 20032, 18893, 30821, 27595, 24465, 20063, 27443, 45527, 23642, 49844, 43575, 34220, 20008, 20012, 43420, 19338, 25358]"
17,"[20057, 20016, 1244, 18920, 23951, 17508, 31521, 20048, 12074, 20010, 20063, 29825, 31979]"
18,"[20023, 47592, 20046, 20020, 939, 20059, 35877, 48735, 10630, 20010, 25864, 14422, 46906, 14491, 22779]"
19,"[20002, 30857, 16261, 19536, 30109, 19100, 41787, 20007, 20033, 20024, 33203, 39766, 9525, 20067, 9162]"
20,"[22751, 46873, 20022, 2779, 20004, 36172, 49413, 2860, 20055, 20044, 41859, 20060, 20001, 15738, 34621, 30906, 16483, 10011, 9810, 40261]"
22,"[48132, 10792, 22725, 11659, 49065, 29903, 20038, 20002, 20006, 30756, 1644, 13767, 20019, 39968, 34739, 4304, 20052, 20067, 11522]"
23,"[20005, 32893, 40091, 8410, 20830, 20036, 48308, 32313, 42400, 20057, 21793, 19260, 42249, 44850, 20061, 20019, 12891, 20050, 14005, 30506]"
25,"[20021, 39618, 20009, 49416, 49777, 20065, 27513, 2111, 41378, 33895, 3469, 41020, 20431, 50041, 20057, 20032]"
26,"[40790, 21373, 2261, 29985, 20023, 37037, 32396, 20065, 20014, 27673, 20007, 9654, 13725, 16209, 3512, 41213, 20054, 20037, 44594]"
28,"[10398, 20046, 6653, 43362, 32085, 20055, 24849, 17833, 28186, 41064, 28090, 43450, 46266, 20006, 42553, 20001, 46118, 20018, 5611, 37799]"
31,"[12248, 7442, 252, 36841, 20028, 8825, 20023, 19061, 14702, 41192, 1047, 43841, 6073, 20014, 16759, 20062, 4562, 20003]"
32,"[33111, 20063, 20035, 34961, 20002, 14264, 17554, 27001, 13435, 22636, 20004, 20055, 4806, 28407, 17349, 6663, 30985, 20019]"
34,"[17949, 23454, 24579, 47893, 20002, 20019, 20062, 44160, 46971, 20054, 24792, 20046, 14894]"
36,"[20049, 15620, 48126, 7979, 45017, 20015, 5460, 20060, 46487, 20011, 7555, 48200, 49104, 20027, 20070, 40211]"
37,"[29483, 32861, 20007, 20021, 39863, 41430, 29022, 45466, 20033, 20679, 15213, 7472, 9392, 47800, 20012, 12807, 16658, 22141, 31387, 20059]"
38,"[17081, 20034, 29258, 35321, 20024, 19824, 47899, 2160, 34078, 20006, 19752, 16670, 12663, 20035, 8960, 20051, 20061, 21964, 45020, 1652]"
39,"[32341, 29482, 11091, 22525, 244, 20008, 29352, 31744, 46798, 20020, 20060, 20041, 20068, 20048, 15169]"
41,"[20064, 11719, 40592, 48770, 17463, 20013, 24882, 13685, 20015, 1312, 9203, 20044, 32002, 430, 20068, 2554, 12655, 22505, 34226]"
