annotator_id,text_ids
14,"[3543, 513, 446, 7, 991, 4336, 106, 4462, 307, 4418, 49, 763, 201, 335, 4485, 4484, 176, 928, 207, 100]"
18,"[35, 277, 4310, 468, 1541, 7, 4265, 1186, 5506, 928, 15, 51, 991, 32394, 1, 12357, 2600, 4569, 1443, 1510]"
26,"[517, 3, 1090, 1897, 58, 1051, 1294, 2892, 3249, 307, 1687, 1112, 26185, 446, 30, 102, 719, 49, 399, 741]"
57,"[1550, 2750, 1273, 455, 3154, 2312, 850, 146, 513, 637, 2026, 889, 517, 1087, 94, 1598, 3035, 46, 1541, 1709]"
61,"[580, 15, 2026, 49, 2105, 51, 1294, 464, 1761, 3742, 4633, 446, 99, 300, 2884, 1469, 3304, 3404, 2004, 335]"
88,"[1090, 715, 934, 1898, 468, 487, 1469, 6606, 4336, 1921, 455, 1598, 1533, 3373, 127, 158, 3035, 4442, 513, 1493]"
94,"[1045, 270, 643, 380, 5451, 1457, 5029, 1173, 1169, 5872, 4241, 828, 3246, 5564, 7618, 5678, 1992, 5506, 5202, 1006]"
95,"[1557, 3511, 5336, 2213, 4423, 275, 6262, 5889, 10662, 513, 3811, 4792, 2592, 220, 2477, 1272, 270, 22927, 1953, 2338]"
96,"[589, 879, 51, 1201, 1169, 380, 850, 719, 102, 1, 300, 520, 1584, 1430, 35, 146, 798, 88, 761, 453]"
105,"[464, 934, 1687, 1584, 608, 1893, 1513, 791, 369, 4185, 2600, 158, 1992, 2586, 487, 327, 2312, 879, 1166, 6617]"
109,"[1866, 2305, 1153, 2388, 3550, 2524, 3286, 2600, 1273, 380, 3943, 3383, 11266, 756, 991, 189, 4462, 2985, 7745, 3187]"
147,"[18622, 3769, 8050, 28492, 100, 11561, 4310, 8743, 580, 20744, 6084, 1698, 26227, 487, 26693, 28813, 4534, 6326, 711, 39970]"
295,"[763, 12079, 3251, 4181, 2759, 5317, 3824, 801, 3834, 20400, 608, 1897, 5199, 4294, 6967, 19113, 14124, 300, 14655, 11429]"
316,"[4569, 637, 4142, 29626, 3251, 5395, 4575, 6185, 7782, 100, 7745, 4636, 3284, 1430, 23646, 805, 4241, 5700, 15086, 32164]"
