annotator_id,text_ids
73,"[1828, 2088, 758, 427, 596, 4024, 678, 711, 211, 300, 219, 739, 2962, 41, 206, 84, 349, 2117, 1713, 138]"
81,"[69257, 374, 48156, 51095, 1597, 87291, 65942, 594, 79787, 6532, 1091, 100104, 2088, 101868, 1624, 51498, 101552, 84, 51603, 87440]"
127,"[463, 596, 711, 469, 914, 1233, 631, 810, 666, 830, 44, 412, 821, 1452, 678, 1428, 1668, 758, 807, 259]"
139,"[92420, 2851, 92368, 2172, 53227, 86597, 4110, 6187, 3252, 90089, 53877, 92551, 93647, 6608, 12869, 3445, 3646, 84518, 92121, 56626]"
233,"[1031, 4376, 11180, 1701, 29875, 9011, 31422, 8407, 4240, 9370, 4751, 1041, 14187, 374, 14852, 2259, 1247, 9556, 2624, 19859]"
248,"[336, 1934, 863, 666, 1295, 1142, 101816, 1494, 966, 48789, 1227, 915, 6257, 7858, 739, 830, 2868, 1848, 1977, 1428]"
463,"[3475, 3590, 1037, 2868, 1922, 1210, 4589, 219, 403, 1247, 2724, 2602, 1558, 1871, 3680, 1834, 1280, 1447, 1663, 5879]"
514,"[8251, 1641, 1161, 1417, 349, 9890, 21762, 1273, 2566, 2351, 2088, 1031, 2295, 932, 8145, 1227, 2752, 1667, 1142, 830]"
706,"[93492, 1934, 1977, 678, 60363, 43673, 94177, 81921, 34411, 594, 1227, 1233, 1273, 65259, 70099, 76441, 96281, 61156, 55785, 1452]"
757,"[8459, 6388, 23180, 8512, 6651, 4018, 1416, 8730, 4349, 10743, 4021, 17510, 8251, 9370, 4663, 6571, 1233, 8700, 4699, 16107]"
933,"[9098, 23066, 90011, 28637, 7017, 15383, 79633, 61734, 39912, 28303, 37444, 23997, 821, 7432, 10205, 30348, 22440, 61492, 1561, 14184]"
1172,"[4449, 7504, 21416, 8300, 8556, 12708, 8738, 8717, 2879, 34779, 8275, 15903, 7827, 14225, 4663, 14101, 5971, 8626, 7542, 4376]"
1351,"[2117, 30329, 37444, 37066, 6733, 10975, 3744, 2522, 37311, 2602, 13996, 6979, 2542, 3252, 2466, 2342, 622, 2088, 7303, 23513]"
1660,"[21781, 88860, 6733, 9098, 7743, 914, 22053, 31796, 8625, 17837, 23481, 8793, 7757, 21983, 4199, 1977, 57727, 29001, 18164, 18146]"
1955,"[1506, 3884, 2172, 2962, 1233, 3127, 3861, 966, 302, 1280, 46674, 821, 3320, 886, 210, 3428, 1295, 2970, 3846, 3252]"
2014,"[50063, 17873, 14818, 14262, 30645, 11529, 14462, 50443, 5879, 18205, 48844, 69494, 16077, 38455, 89100, 32346, 32975, 30488, 349, 14323]"
2185,"[96054, 14040, 8690, 15073, 96733, 4199, 92748, 108667, 93812, 12896, 99684, 17739, 711, 92900, 14101, 12931, 94415, 99762, 16266, 95804]"
2255,"[96449, 97136, 39616, 96137, 95626, 97209, 99407, 96033, 98490, 97442, 98299, 96455, 98340, 96281, 97352, 40238, 98550, 95595, 96210, 96770]"
2323,"[107747, 101868, 107741, 7110, 7387, 86804, 7757, 79249, 98610, 8625, 1506, 1713, 28993, 33753, 84480, 53482, 108520, 68337, 37868, 15841]"
2334,"[6096, 8972, 32388, 3598, 8053, 9725, 21308, 7325, 12731, 4369, 8968, 22385, 6685, 63, 8216, 22440, 9189, 47114, 8149, 7288]"
2702,"[6149, 6608, 4619, 6733, 7797, 4291, 7423, 4751, 7405, 4199, 6651, 5769, 7325, 4663, 6297, 4316, 7743, 7387, 4531, 7757]"
3021,"[15841, 23141, 4316, 16077, 7835, 15073, 52108, 9639, 18185, 8241, 10661, 16131, 23348, 10676, 23066, 51095, 15568, 16340, 2709, 15925]"
3700,"[54814, 52320, 42587, 81566, 57829, 55809, 22378, 59972, 54068, 32190, 60363, 57727, 59049, 55773, 1091, 55477, 54103, 54944, 55050, 60228]"
3733,"[29875, 35880, 108148, 24195, 29755, 9899, 16016, 18164, 25222, 14117, 24908, 24367, 39483, 3680, 6297, 48493, 14698, 15397, 14385, 12931]"
3867,"[21877, 22621, 95870, 23180, 89445, 22697, 90327, 93025, 96559, 6431, 102119, 3891, 55119, 76851, 72742, 24293, 64736, 1668, 91406, 2259]"
4231,"[60771, 23762, 24908, 11173, 30248, 29755, 29920, 50913, 22309, 19564, 23738, 38375, 1428, 17854, 45789, 51603, 53132, 7835, 2542, 17873]"
4504,"[8308, 11432, 24589, 18205, 8241, 31401, 9303, 8595, 10195, 8407, 19651, 21144, 5966, 6479, 5879, 24217, 56640, 8968, 34154, 9569]"
4507,"[9511, 8730, 8234, 9278, 21840, 8717, 12594, 8300, 11432, 9624, 2115, 10661, 8690, 8687, 8626, 9104, 9639, 9180, 9605, 8700]"
4555,"[48230, 9818, 65059, 37600, 24908, 77251, 49721, 9189, 104821, 37496, 34154, 65069, 102050, 30778, 45047, 52051, 37152, 68229, 37712, 24887]"
4556,"[45706, 16266, 8053, 14552, 2823, 3598, 6892, 14838, 4199, 17719, 3590, 9303, 3489, 9818, 16252, 4531, 8626, 8700, 31258, 7844]"
4686,"[24, 190, 45244, 31803, 43578, 537, 17897, 8625, 45019, 666, 10975, 21292, 26560, 32400, 16430, 6331, 8509, 3646, 31796, 22004]"
4742,"[32802, 25347, 38172, 28956, 47587, 18146, 34031, 28971, 19646, 21478, 43500, 31312, 132, 47064, 53112, 40487, 48465, 10894, 43526, 14918]"
4752,"[14603, 23141, 28016, 27972, 31049, 26782, 10622, 65843, 10514, 46719, 38314, 39116, 28590, 72806, 2466, 14823, 57607, 12708, 54299, 59666]"
4894,"[15783, 56281, 9908, 64736, 3735, 89417, 14323, 21371, 10110, 11180, 47394, 59583, 14641, 43378, 11475, 82481, 10841, 21560, 10514, 9971]"
4900,"[81671, 90410, 1580, 89668, 90406, 73070, 97347, 92368, 96551, 7282, 82176, 106115, 90711, 82619, 94272, 70130, 39602, 74125, 70202, 23856]"
5116,"[15870, 21144, 210, 15134, 43124, 22103, 10823, 39116, 8717, 16356, 8738, 8776, 21378, 16236, 966, 22067, 39616, 45805, 39057, 11024]"
5154,"[57725, 101540, 82262, 17493, 105187, 11221, 108489, 821, 98553, 108550, 41353, 107076, 53312, 49588, 32241, 16340, 30004, 99488, 88891, 9303]"
5381,"[16172, 2879, 10064, 29811, 30348, 40036, 10272, 23009, 17827, 21292, 15886, 11450, 46065, 15944, 15796, 23823, 29171, 11180, 23857, 51397]"
5577,"[16131, 1871, 10064, 10992, 10676, 43007, 40413, 43017, 103067, 9890, 10110, 73076, 16119, 12720, 102736, 43398, 21909, 102003, 9784, 45724]"
5724,"[7303, 33555, 43337, 44918, 14852, 2351, 7757, 33972, 24270, 15841, 19778, 24083, 9098, 42798, 29063, 43233, 29755, 37672, 32346, 6]"
5759,"[37730, 7282, 11294, 30978, 16340, 14797, 8145, 15463, 27964, 15607, 48181, 36555, 15320, 15134, 32043, 15684, 59387, 7797, 8216, 8625]"
5897,"[53482, 21308, 9899, 10566, 43086, 21762, 427, 26845, 22399, 15596, 17854, 36877, 29063, 7757, 10743, 23513, 36435, 14352, 43007, 6149]"
5977,"[22244, 6803, 31618, 23738, 22697, 14262, 17683, 14708, 10658, 32802, 32155, 25222, 12869, 11294, 29937, 30381, 23857, 14456, 29136, 14225]"
6350,"[92527, 108074, 104105, 101613, 105665, 105366, 96770, 99155, 100494, 106015, 105262, 101797, 73909, 110459, 97756, 96281, 97523, 111145, 110012, 93204]"
6414,"[15073, 37893, 53861, 54648, 17510, 103469, 106389, 50790, 54242, 15783, 56108, 15903, 15815, 8669, 99823, 11495, 6135, 43378, 6276, 4199]"
6527,"[4199, 102227, 108021, 81380, 108001, 90754, 90425, 102228, 96305, 102867, 108189, 91211, 81171, 97461, 14101, 102761, 51397, 110612, 102213, 90549]"
8007,"[53112, 22141, 24293, 28999, 30217, 64736, 21073, 46155, 24083, 29155, 29006, 32190, 51875, 21521, 19859, 52008, 29679, 23426, 60737, 551]"
8375,"[110207, 17586, 29704, 51173, 70803, 33883, 78205, 92076, 51399, 51293, 48138, 17690, 8149, 3744, 31734, 39116, 98844, 107660, 22654, 22399]"
8556,"[36325, 48769, 52768, 21510, 9370, 15203, 30230, 51235, 26689, 82065, 11450, 29587, 28876, 42256, 34752, 19564, 1190, 24651, 48498, 27902]"
8743,"[110276, 108574, 110468, 33972, 110673, 110026, 82513, 110459, 110945, 107938, 102217, 105616, 105659, 110768, 110354, 106293, 104803, 111044, 110108, 108362]"
8761,"[22067, 23186, 28554, 45789, 44789, 31258, 28335, 31843, 24083, 26689, 46572, 30917, 22263, 31726, 18146, 30576, 16172, 31803, 19717, 29937]"
