annotator_id,text_ids
0,"[238, 181, 90, 188, 225, 41, 242, 114, 10, 5, 304, 34, 121, 256, 78, 230, 223, 293, 290, 231]"
1,"[103, 44, 128, 166, 204, 377, 48, 288, 91, 156, 89, 395, 266, 61, 310, 81, 335, 280, 217, 345]"
2,"[407, 568, 401, 527, 586, 512, 563, 474, 539, 525, 427, 402, 413, 511, 453, 406, 564, 553, 465, 540]"
3,"[805, 945, 826, 872, 988, 845, 856, 869, 896, 952, 851, 950, 840, 956, 842, 940, 911, 928, 974, 824]"
4,"[898, 1153, 840, 1155, 830, 948, 1163, 806, 853, 841, 1174, 1116, 1013, 963, 855, 944, 998, 1195, 1092, 911]"
5,"[1364, 1347, 1265, 1406, 1205, 1374, 1427, 1221, 1519, 1314, 1269, 1202, 1407, 1510, 1362, 1451, 1452, 1317, 1492, 1449]"
6,"[1252, 1494, 1222, 1348, 1588, 1506, 1289, 1395, 1319, 1279, 1433, 1598, 1257, 1250, 1473, 1408, 1565, 1211, 1330, 1420]"
7,"[1844, 1623, 1780, 1897, 1705, 1675, 1855, 1657, 1972, 1989, 1907, 1702, 1678, 1979, 1725, 1965, 1845, 1619, 1741, 1616]"
8,"[1972, 1982, 1994, 1825, 1863, 1748, 1677, 1745, 1901, 1656, 1669, 1702, 1621, 1936, 1959, 1864, 1691, 1766, 1707, 1615]"
9,"[2173, 2220, 2149, 2137, 2262, 2069, 2062, 2066, 2048, 2162, 2181, 2294, 2174, 2113, 2265, 2213, 2270, 2005, 2034, 2188]"
10,"[2319, 2297, 2173, 2295, 2216, 2347, 2091, 2236, 2019, 2150, 2059, 2358, 2312, 2172, 2073, 2265, 2076, 2010, 2142, 2070]"
11,"[2733, 2415, 2703, 2628, 2527, 2694, 2643, 2536, 2774, 2652, 2510, 2553, 2430, 2743, 2634, 2410, 2686, 2520, 2508, 2517]"
12,"[2743, 2600, 2656, 2750, 2626, 2424, 2724, 2651, 2639, 2694, 2587, 2741, 2758, 2648, 2786, 2416, 2747, 2552, 2533, 2671]"
13,"[2835, 2832, 2920, 2815, 2896, 2944, 2984, 2923, 2801, 2928, 2937, 2830, 2942, 2806, 2860, 2859, 2828, 2850, 2864, 2901]"
14,"[3160, 3153, 2852, 2914, 3082, 2949, 3136, 3021, 2998, 2990, 3168, 2969, 3065, 2875, 2846, 2976, 3187, 3033, 2822, 2994]"
15,"[3583, 3229, 3425, 3220, 3222, 3427, 3593, 3340, 3334, 3228, 3304, 3423, 3463, 3239, 3223, 3507, 3579, 3257, 3350, 3585]"
16,"[3280, 3275, 3372, 3278, 3515, 3335, 3273, 3317, 3421, 3220, 3262, 3597, 3469, 3369, 3455, 3219, 3576, 3464, 3308, 3569]"
17,"[3732, 3963, 3609, 3655, 3733, 3829, 3613, 3918, 3912, 3662, 3601, 3913, 3986, 3626, 3619, 3654, 3955, 3687, 3764, 3686]"
18,"[3784, 3803, 3943, 3883, 3734, 3625, 3733, 3974, 3693, 3608, 3967, 3717, 3944, 3620, 3880, 3878, 3719, 3607, 3955, 3850]"
19,"[4237, 4103, 4097, 4289, 4031, 4074, 4076, 4292, 4084, 4094, 4249, 4209, 4176, 4323, 4043, 4083, 4340, 4056, 4270, 4130]"
20,"[4779, 4435, 4741, 4703, 4667, 4657, 4680, 4750, 4661, 4444, 4431, 4410, 4417, 4407, 4743, 4636, 4590, 4650, 4777, 4786]"
21,"[4769, 4786, 4584, 4452, 4432, 4655, 4631, 4683, 4470, 4507, 4690, 4548, 4587, 4601, 4477, 4423, 4527, 4447, 4526, 4647]"
22,"[5020, 4897, 4942, 5195, 4862, 4941, 5105, 5199, 4986, 5174, 5032, 4982, 4812, 4898, 5113, 5045, 4945, 4811, 5018, 4917]"
23,"[5484, 5402, 5515, 5263, 5360, 5343, 5430, 5399, 5581, 5383, 5449, 5525, 5548, 5564, 5474, 5311, 5226, 5310, 5229, 5498]"
24,"[5820, 5670, 5805, 5906, 5932, 5753, 5983, 5926, 5819, 5675, 5623, 5817, 5719, 5925, 5786, 5732, 5600, 5690, 5920, 5843]"
