annotator_id,text_ids
19,"[868, 2105, 1507, 51932, 2539, 203, 289, 5312, 7488, 1914, 2643, 71950, 1340, 2176, 68646, 465, 185, 5065, 1043, 405]"
26,"[226, 2480, 13300, 2313, 25, 49412, 22587, 18647, 250, 46385, 911, 35015, 10816, 46713, 16, 441, 790, 20639, 1571, 1596]"
44,"[13042, 1014, 18293, 3041, 2952, 6092, 80224, 7076, 10714, 20630, 2696, 12766, 13985, 36375, 17656, 30836, 7539, 2164, 24584, 13291]"
46,"[80050, 14002, 18647, 2313, 17493, 125405, 2995, 6158, 179732, 14015, 179558, 14623, 161445, 8209, 11323, 7410, 203, 2079, 638, 58653]"
101,"[27, 83042, 6, 6370, 6021, 100, 5024, 17258, 83389, 3828, 106027, 19607, 4924, 114052, 2919, 4062, 150878, 8861, 27291, 39256]"
108,"[13362, 5509, 5317, 2334, 5650, 5400, 610, 448, 100, 2643, 3396, 43701, 441, 405, 4879, 13562, 11234, 5106, 7961, 516]"
140,"[638, 73, 946, 20334, 3543, 25698, 3220, 3309, 42540, 671, 2752, 1596, 163435, 2796, 464, 2696, 3129, 1444, 2310, 2539]"
241,"[3507, 9972, 25, 7563, 15997, 7658, 8583, 3211, 465, 7192, 5446, 3828, 438, 5809, 1573, 972, 9012, 2497, 73920, 5695]"
243,"[153, 3758, 5106, 305, 890, 1340, 5192, 10, 722, 6815, 3220, 5364, 3041, 1374, 119, 1033, 1596, 3560, 8861, 3589]"
264,"[106856, 47931, 161370, 25320, 93743, 56176, 150205, 158665, 177790, 5317, 155180, 104712, 58907, 153382, 151994, 80535, 4879, 186120, 133609, 39598]"
277,"[3330, 145551, 79061, 3183, 4602, 147695, 74913, 2752, 35351, 1157, 18198, 166135, 22929, 1043, 6592, 1507, 886, 711, 9194, 10947]"
405,"[49604, 81754, 2044, 82429, 50882, 65556, 73584, 71408, 73642, 1224, 24158, 72306, 58614, 68194, 67032, 90229, 88046, 4839, 965, 37151]"
444,"[1014, 3620, 37752, 60350, 6465, 7390, 39598, 26491, 24118, 25601, 18647, 25946, 24310, 27183, 26397, 60010, 5446, 38390, 6467, 20639]"
466,"[3261, 1677, 143232, 3960, 2643, 2565, 16331, 3054, 6306, 3236, 4711, 3191, 676, 3330, 6021, 7192, 920, 882, 203, 2458]"
693,"[250, 2767, 58337, 972, 42652, 1340, 2952, 38718, 10, 3180, 6678, 1703, 2354, 3191, 13731, 3065, 9891, 4245, 13562, 43290]"
788,"[2589, 40282, 1911, 2349, 911, 2796, 30608, 37439, 49904, 1158, 38177, 688, 2480, 27330, 20171, 78, 638, 203, 98654, 59128]"
793,"[8788, 2643, 9409, 2041, 7263, 3833, 7916, 1817, 2539, 2993, 10504, 9651, 730, 18293, 20937, 2349, 5400, 7539, 110, 21769]"
984,"[7410, 11648, 154378, 6304, 23290, 730, 21671, 31374, 25698, 119431, 147417, 21568, 30710, 6187, 14297, 13042, 6325, 168966, 4440, 186120]"
1295,"[171420, 5446, 176270, 9072, 177363, 8824, 9035, 174397, 6370, 4901, 174416, 180822, 175463, 178336, 7236, 6746, 7916, 6306, 8738, 6021]"
