annotator_id,text_ids
5814726,"[2046134444, 2046134605, 2046134448, 2046134435, 2046134649, 2046134478, 2046134644, 2046134530, 2046134787, 2046134492, 2046134833, 2046134519, 2046134841, 2046134660, 2046134500, 2046134536, 2046134451, 2046134491, 2046134570, 2046134620]"
6338946,"[2046134680, 2046134702, 2046134444, 2046134673, 2046134669, 2046134740, 2046134325, 2046134492, 2046134805, 2046134471, 2046134730, 2046134626, 2046134576, 2046134493, 2046134707, 2046134553, 2046134568, 2046134665, 2046134733, 2046134530]"
6377879,"[1740356715, 2046134390, 1739443219, 1739469305, 1739457465, 1739454380, 1739441831, 1739464162, 2254074421, 1739458027, 1739456003, 2164632167, 1739440432, 1739457294, 1739449085, 1739440424, 1739466741, 1739443125, 2254074418, 1739452904]"
6409472,"[2046134537, 2046134524, 2046134440, 2046134538, 2046134790, 2046134603, 2046134654, 2046134751, 2046134535, 2046134582, 2046134586, 2046134526, 2046134547, 2046134543, 2046134469, 2046134664, 2046134499, 2046134636, 2046134572, 2046134635]"
6713206,"[2046134478, 2046134500, 2046134325, 2046134462, 2046134458, 2046134451, 2046134804]"
10390268,"[1739449785, 1746210504, 1739441643, 1740356718, 1739457861, 1739441488, 1739442958, 1739442300, 1739442450, 1739443494, 1739458231, 1739465804, 1739460350, 1740356715, 1739441252, 1739442287, 1739442333, 1739454835, 1747077902, 1739452609]"
13581319,"[2046134429, 2164631989, 2327177837, 2254075100, 2254074654, 2254074511, 2254075079, 2327213367, 2046134355, 2254075141, 2327205798, 2254074732, 2254074694, 2327207609, 2046134707, 2164631971, 2327195484, 2164631933, 2327207665, 2327214011]"
13842059,"[1740356724, 1739440425, 1746246689, 1746210520, 1739441793, 1739442994, 1739440442, 1739443359, 1739441271, 1739442814, 1739443659, 1739442370, 1739443267, 1740356702, 1739455976, 1739442561, 1739455327, 1739442958, 1739463095, 1739442935]"
14070474,"[2046134500, 2046134415, 2046134523, 2046134514, 2046134787, 2046134451, 2046134722, 2046134688, 2046134598, 2046134798, 2046134832, 2046134462, 2046134720, 2046134458]"
14408644,"[1739442633, 1739440424, 1739442169, 1739443407, 1739443181, 1739442546, 1739441927, 1740356695, 1739442907, 1739442920, 1739441692, 1739440446, 1739443554, 1739441858, 1739440435, 1739441769, 1739442218, 1740356727, 1739443650, 1739442500]"
14475688,"[1739465128, 1739458738, 1739466473, 1740356702, 1739465916, 1739456717, 1748675881, 1739449308, 1739451863, 1740356724, 1739459147, 1739448533, 1739447624, 1739468865, 1739462024, 1739472021, 1739445832, 1739449577, 1739451175, 1739466866]"
14723284,"[2164631828, 2297539882, 2254074195, 2297540305, 2297540428, 2297540375, 2254075044, 2297540041, 2297540372, 2297540640, 2254075036, 2297540589, 2297540617, 2254074154, 2254074987, 2297540100, 2297540681, 2297540747, 2297540667, 2297540420]"
