annotator_id,text_ids
0,"[243703680, 580537969, 187268344, 88930385, 204047241, 383411010, 390937186, 519011608, 642966287, 153438352, 620658533, 539267018, 537319577, 33736746, 5158305, 420408952, 279850092, 209499406, 320544135, 490534963]"
1,"[454557105, 30594536, 189334666, 663867975, 321172616, 414720918, 212293733, 143882530, 265041381, 655956191, 26618384, 79480395, 649641419, 580282201, 157796251, 137981666, 189354918, 304897611, 91212016, 441212213]"
2,"[134914107, 287739242, 625755195, 465872459, 461237705, 439556229, 323120173, 526960149, 356266073, 187679510, 57961436, 49884376, 654787914, 415808219, 397287881, 221218501, 298028606, 228106137, 541067981, 158017774]"
3,"[685449231, 42039306, 333697867, 186007314, 220187555, 598500648, 400548190, 392041388, 124435227, 54535649, 424605257, 346703667, 105016956, 91011894, 606941355, 476871498, 234671952, 164280207, 251755059, 248942840]"
4,"[180004807, 269626138, 369740922, 673178409, 197700762, 74982166, 207012634, 119975761, 151505211, 691236808, 420302561, 293837635, 122792874, 555719405, 20957009, 71824783, 586808010, 471154422, 408547863, 496567550]"
5,"[189896391, 177543781, 200431703, 245823162, 600233201, 223459250, 239071686, 183745297, 320073840, 347181200, 596432556, 554382458, 190747377, 428002426, 609431978, 363543036, 96806141, 670719679, 135160986, 10283381]"
6,"[27202391, 245373329, 653681793, 607981746, 359014781, 422894629, 693689410, 437527717, 616358091, 126561297, 291993438, 673820436, 486827556, 632947846, 25600740, 378334288, 98117820, 69095185, 363252993, 101965269]"
7,"[306580323, 133781158, 365045020, 321831632, 140431397, 248700734, 309441928, 58932037, 168788345, 210100697, 67661218, 226812943, 203266868, 251504657, 599134218, 219894154, 372195242, 648392801, 152187874, 429493932]"
8,"[438026633, 350002965, 102692465, 285480891, 91869387, 221213831, 321429056, 327560619, 303465093, 430034232, 41723033, 64232042, 209975592, 527703946, 382418507, 139073095, 599197627, 494235588, 488623536, 181978290]"
9,"[71883137, 321881391, 259286634, 148629630, 74792739, 179823999, 67839615, 194723453, 234225598, 112661805, 288636497, 327285131, 413682459, 381473743, 276919444, 694674612, 274485400, 484646562, 103332370, 168015044]"
10,"[260924137, 150355977, 686307279, 393182034, 48336285, 194930694, 385745787, 471357064, 307361833, 129704059, 281280250, 107599621, 79359375, 654026727, 12696870, 236057928, 444472189, 235844914, 288589168, 68873527]"
11,"[125449500, 100169390, 603458462, 550076500, 414583931, 251441998, 189896391, 387384514, 263282858, 248992423, 208515932, 560366988, 596656853, 214416218, 469436994, 64577146, 164953842, 80938710, 206112761, 82058401]"
12,"[190689830, 620957343, 20284481, 226747453, 667532576, 70865406, 388157138, 259165480, 498654957, 600918, 199527281, 344451939, 379319482, 370853953, 214421353, 667636368, 80719470, 517800972, 423930305, 281148464]"
13,"[134893630, 467761450, 142404698, 40917682, 331934659, 161812888, 450346866, 37306047, 401539938, 281443187, 277722841, 365201113, 131150104, 575968463, 651947372, 253318187, 398494557, 451746122, 487778037, 160706622]"
14,"[244859946, 379397458, 237130385, 147696973, 199098867, 309793681, 242902660, 480404372, 504137377, 218401411, 66435149, 321483210, 301474866, 105633843, 337650000, 325689121, 540323030, 94679648, 436770821, 279399911]"
15,"[672951928, 346716854, 314440827, 39463463, 187549854, 263908702, 351007438, 583928047, 686307279, 465872459, 435601651, 180058810, 522759215, 345708180, 619448952, 304638512, 76314837, 573076078, 245406312, 535997314]"
