annotator_id,text_ids
3,"[154183, 972, 77120, 139162, 9096, 116393, 58509, 42943, 104764, 144803, 2567, 59674, 183386, 66867, 114402, 143651, 195417, 6584, 66886, 142049]"
7,"[1859, 10, 1604, 1785, 6086, 1, 1355, 15163, 105539, 3284, 790, 2, 4056, 9014, 5, 575, 6274, 2192, 4027, 154]"
16,"[67763, 96335, 306, 65552, 2002, 2863, 794, 2040, 61726, 100005, 89310, 9128, 4157, 52, 79356, 27370, 6989, 94342, 24296, 9342]"
26,"[209, 3265, 11290, 12362, 2074, 760, 111, 18696, 1284, 1562, 19625, 2788, 17512, 11013, 844, 650, 12383, 1037, 9119, 3105]"
31,"[34, 2, 483, 455, 6223, 7149, 5, 1339, 6001, 1052, 1273, 410, 465, 1525, 234, 345, 253, 1051, 52, 481]"
52,"[431, 481, 2268, 2366, 1273, 1491, 58481, 42638, 2116, 1782, 1929, 1444, 21175, 117007, 952, 253, 1, 10, 12738, 37]"
54,"[3485, 6584, 3016, 6750, 1273, 922, 9128, 7286, 1287, 972, 108186, 4198, 35023, 14921, 2425, 2732, 1333, 1355, 2644, 2965]"
57,"[1916, 4157, 94697, 10229, 69295, 65956, 35097, 43107, 112840, 84609, 64501, 54532, 96396, 62102, 111841, 93554, 157816, 3818, 195165, 68112]"
67,"[44220, 19651, 17444, 4039, 4319, 6755, 67519, 188849, 22802, 6354, 19054, 163132, 3601, 12840, 6724, 163778, 12221, 69980, 6464, 17318]"
70,"[5917, 6261, 2763, 483, 9379, 12291, 20780, 35108, 3259, 14846, 316, 9134, 7578, 57881, 253, 890, 11411, 1051, 9145, 41078]"
75,"[5647, 2131, 3133, 9252, 3120, 2040, 1201, 2728, 7456, 47, 9817, 11790, 7535, 945, 7286, 7601, 3105, 7571, 136, 2192]"
88,"[14995, 42020, 7070, 18976, 23367, 33109, 58481, 18010, 16816, 6529, 9824, 67833, 11986, 17072, 867, 10029, 8669, 662, 745, 70136]"
93,"[96134, 92596, 867, 11290, 3492, 3598, 24656, 56912, 57557, 7096, 5940, 74706, 49063, 20593, 471, 13266, 40598, 40479, 94305, 1609]"
94,"[2204, 11411, 66042, 15378, 31423, 90484, 3259, 7366, 81903, 8672, 890, 68032, 42726, 28128, 112723, 76558, 2732, 18833, 1775, 1609]"
98,"[537, 7338, 31152, 16644, 4206, 14389, 11568, 12962, 5711, 32228, 9252, 11519, 5926, 5961, 450, 4407, 2924, 1916, 4288, 14470]"
102,"[30928, 27484, 13308, 129365, 9866, 160828, 10047, 55787, 91802, 159511, 56048, 88889, 195358, 92567, 90699, 177579, 33047, 49063, 47748, 82808]"
110,"[168400, 102378, 60170, 31671, 36085, 62323, 177802, 135798, 154333, 172080, 153948, 157147, 125952, 162757, 89729, 107387, 154148, 156685, 122412, 101712]"
121,"[706, 345, 1309, 537, 12692, 295, 1960, 173104, 1, 12721, 3632, 157924, 39, 794, 253, 1046, 209, 136, 17932, 1355]"
126,"[1433, 1524, 865, 1355, 163614, 700, 3448, 1339, 2806, 3401, 79500, 171894, 89058, 1129, 2204, 15585, 2481, 2104, 166890, 146012]"
127,"[193194, 41453, 2087, 192676, 2733, 47053, 2210, 1782, 9139, 6261, 88847, 572, 2999, 9740, 13470, 19673, 11304, 124258, 1858, 125745]"
138,"[790, 7535, 575, 7095, 650, 12081, 621, 2743, 295, 3601, 4039, 794, 83, 4467, 662, 7121, 11712, 645, 476, 7091]"
148,"[136742, 945, 124482, 137652, 454, 2986, 471, 3676, 140992, 28268, 772, 73975, 794, 83, 4039, 94929, 345, 137985, 1006, 1129]"
149,"[18362, 30561, 69799, 1152, 112656, 12668, 93685, 56290, 416, 151981, 110472, 81269, 55787, 625, 794, 537, 83451, 47163, 121263, 52820]"
155,"[2681, 2163, 12962, 1190, 11596, 2131, 431, 9830, 17551, 5672, 4521, 15389, 947, 2330, 1287, 11119, 2116, 21035, 2863, 18814]"
180,"[122891, 178657, 183619, 146908, 188333, 177802, 96577, 92588, 174296, 177395, 172366, 166336, 94366, 172215, 171689, 8945, 9570, 168458, 171720, 142084]"
183,"[1037, 2131, 376, 1152, 865, 1138, 1242, 911, 10747, 10512, 2699, 3275, 9824, 11441, 794, 10904, 2116, 2294, 572, 733]"
233,"[937, 35495, 10880, 1926, 13191, 12843, 8839, 23816, 11128, 23298, 8650, 6584, 12221, 6724, 20194, 18362, 20843, 24656, 19041, 9457]"
238,"[19491, 187109, 57927, 48161, 5594, 12888, 127594, 6591, 2974, 171720, 55907, 11659, 9990, 2899, 44138, 2324, 194696, 149986, 15534, 2692]"
249,"[21377, 19201, 178043, 112253, 129752, 143196, 115957, 121542, 174782, 15192, 169636, 60888, 17934, 16816, 13050, 10981, 126451, 118588, 23576, 21292]"
271,"[167378, 97725, 46734, 167251, 192210, 180332, 1929, 12962, 125696, 8701, 3844, 98250, 159781, 130577, 1585, 5801, 4224, 77858, 3880, 115409]"
300,"[76096, 169366, 97883, 67858, 70877, 18406, 47458, 19290, 61385, 137021, 139131, 123985, 127678, 167719, 95520, 20653, 20338, 17588, 48276, 35843]"
321,"[106229, 153260, 1649, 136504, 14712, 71505, 1782, 11740, 137011, 114174, 119518, 3598, 14033, 194204, 119067, 193784, 194006, 135909, 790, 93146]"
325,"[76825, 10832, 137985, 113322, 1771, 1921, 7210, 70976, 1775, 23642, 7155, 21229, 55851, 6283, 10708, 13266, 133433, 57460, 57436, 12516]"
326,"[12302, 6274, 5980, 9283, 5926, 8701, 10806, 10420, 25837, 173736, 14414, 12207, 6544, 11411, 70930, 89310, 9570, 182655, 14734, 179896]"
332,"[162548, 102033, 100239, 81269, 13653, 9128, 100750, 128154, 100431, 171894, 113239, 145332, 172615, 63168, 131833, 32808, 58313, 101897, 179055, 67469]"
345,"[125707, 183382, 41006, 31657, 189377, 93589, 82706, 116153, 179059, 140538, 191138, 138466, 167856, 55311, 72427, 40233, 15389, 142638, 174657, 54218]"
360,"[85170, 110317, 44722, 132243, 44738, 101502, 47088, 149386, 13567, 125402, 18413, 84599, 102176, 69471, 44827, 54430, 54840, 75220, 152565, 74885]"
363,"[10832, 57181, 40115, 67949, 101793, 37019, 35760, 74000, 35473, 43160, 91984, 79252, 113168, 64267, 114269, 9740, 733, 83, 41078, 47151]"
375,"[1775, 11128, 3259, 4407, 1847, 11267, 1284, 1859, 2732, 2338, 1333, 6500, 1963, 1052, 7019, 2763, 1051, 1858, 11290, 1287]"
423,"[4457, 154, 61096, 6393, 27044, 133089, 2620, 2854, 8840, 3284, 6430, 1478, 18119, 450, 12843, 6354, 6409, 10486, 13308, 8819]"
437,"[455, 107, 84806, 12738, 28150, 4027, 7095, 9785, 71687, 7316, 55090, 86261, 4298, 23964, 1609, 3941, 67833, 151574, 22888, 12058]"
510,"[50368, 65080, 71170, 49264, 58014, 82706, 42255, 93696, 3335, 59095, 58688, 59672, 87085, 11274, 121430, 65956, 6100, 61478, 40115, 85455]"
530,"[915, 118003, 162677, 163998, 114511, 114402, 123856, 20263, 115091, 164644, 162248, 46985, 122412, 83199, 20357, 150678, 33465, 112571, 63337, 120952]"
