annotator_id,text_ids
7,"[9642, 30304, 92120, 241736, 46, 183960, 31520, 2, 94040, 757, 625, 223508, 81586, 231140, 34934, 44478, 31870, 52956, 78693, 33066]"
18,"[683, 371, 43, 30228, 71, 3129, 919, 110269, 275, 117267, 229, 3958, 3188, 3246, 1084, 3049, 320, 2516, 73146, 60724]"
19,"[29975, 23521, 19038, 19640, 5078, 36200, 7058, 29525, 5093, 35997, 33066, 9350, 7168, 27243, 19052, 15263, 12266, 34887, 19855, 37761]"
22,"[966, 527, 43, 144, 1373, 96, 5, 425, 541, 12801, 1031, 628, 501, 581, 519, 10939, 495, 532, 9923, 647]"
28,"[39583, 33147, 45722, 128453, 20249, 37936, 135354, 51382, 28343, 4600, 23174, 153240, 83315, 147322, 132680, 10062, 16997, 89346, 91744, 78733]"
29,"[95561, 42380, 40, 44622, 37981, 119648, 67779, 41229, 83072, 48043, 74485, 51722, 5186, 17828, 46669, 5078, 9307, 92975, 105493, 122084]"
30,"[4363, 8425, 1238, 3260, 462, 10320, 40, 129336, 232695, 9359, 8772, 2769, 9264, 167584, 244294, 58152, 232617, 22377, 463, 156629]"
49,"[31686, 9247, 68481, 128138, 15105, 123268, 2526, 191622, 36174, 125405, 11189, 132912, 128755, 21292, 9183, 342, 13180, 20699, 37351, 22243]"
75,"[4795, 251561, 7337, 240762, 249701, 249684, 205848, 220775, 10884, 254405, 238095, 377, 166910, 249082, 36556, 25130, 243862, 129088, 249486, 38729]"
81,"[28501, 13024, 3126, 13241, 313, 2655, 104, 3230, 408, 80528, 229, 176, 579, 2983, 28510, 2575, 527, 13492, 612, 125]"
98,"[3646, 11866, 32598, 32778, 51204, 610, 47453, 2648, 57853, 25830, 51746, 56834, 869, 8577, 9559, 153227, 21177, 31593, 28328, 56307]"
107,"[8651, 757, 144, 176, 3260, 425, 579, 3246, 143, 96, 111, 4028, 491, 4067, 34867, 60724, 342, 123, 243, 8807]"
114,"[8662, 38655, 15470, 13364, 37392, 125, 31010, 372, 38686, 780, 625, 571, 17404, 143, 25478, 2648, 647, 18755, 579, 683]"
115,"[162699, 109950, 158593, 275, 162932, 3753, 123598, 130895, 143479, 132002, 123608, 176, 142043, 152640, 79990, 5231, 173328, 178705, 46, 150022]"
129,"[966, 4807, 2715, 4308, 96775, 1359, 542, 1268, 269, 757, 21078, 3320, 1194, 21083, 2648, 23852, 96000, 25724, 577, 20055]"
147,"[4028, 100527, 20292, 780, 176, 11886, 23811, 42440, 13112, 10295, 112429, 4197, 20821, 9466, 25427, 527, 8698, 11412, 4742, 10004]"
178,"[84252, 120828, 123117, 404, 86571, 41907, 65259, 69300, 104763, 116022, 59012, 102999, 54583, 17580, 97615, 2861, 30922, 4261, 52243, 18556]"
179,"[6402, 249385, 4308, 244294, 130837, 9774, 1314, 31096, 3358, 628, 372, 12925, 3347, 165939, 44709, 249607, 7019, 4197, 569, 8392]"
189,"[31408, 75829, 49272, 20730, 29530, 5148, 27468, 15404, 499, 12219, 39191, 66667, 41856, 19862, 45506, 11019, 22669, 29199, 20681, 895]"
220,"[152111, 55859, 151509, 58436, 55049, 35903, 170539, 212983, 164479, 156611, 166653, 17880, 25581, 220452, 50834, 180832, 82740, 175786, 58613, 157578]"
221,"[80103, 40175, 45666, 241448, 58069, 10320, 7105, 38324, 151509, 62533, 882, 53810, 170857, 28282, 179450, 96, 64293, 88162, 186046, 59081]"
224,"[87735, 179720, 88163, 129966, 104495, 236250, 231822, 52573, 18820, 53359, 190002, 103535, 242399, 32657, 186884, 237358, 227833, 231567, 222359, 143695]"
227,"[123403, 84575, 42631, 84947, 11517, 70378, 2578, 107123, 66114, 34420, 3510, 68175, 127133, 20098, 44841, 144539, 1273, 42387, 28836, 131609]"
231,"[92857, 85190, 117358, 165513, 11384, 7105, 17359, 2895, 120007, 20238, 812, 86849, 54150, 15654, 218922, 13024, 42044, 165326, 74568, 12634]"
232,"[251822, 184645, 249576, 98992, 234532, 185914, 140533, 185266, 186601, 122774, 45506, 234795, 31388, 148543, 51210, 185179, 188264, 189173, 186329, 27582]"
236,"[810, 3753, 33498, 15028, 6683, 484, 4679, 8380, 3885, 6747, 8368, 4824, 6624, 1031, 2838, 843, 3958, 3906, 33559, 3891]"
246,"[637, 9916, 610, 31691, 70560, 12888, 25264, 2776, 1273, 630, 9680, 19702, 116120, 22908, 25396, 3136, 13394, 12990, 6380, 4034]"
253,"[1238, 1209, 2587, 11517, 1241, 586, 968, 966, 1273, 581, 2512, 1339, 1354, 625, 1451, 895, 1401, 1188, 812, 28358]"
262,"[95033, 142531, 170067, 20043, 184092, 169889, 55180, 4621, 18862, 214074, 542, 221330, 56748, 176957, 48376, 237199, 84316, 74315, 103651, 231633]"
