annotator_id,text_ids
0,"[25653, 21209, 21712, 12025, 25276, 4254, 17305, 4908, 10417, 4983, 17165, 15576, 5252, 1897, 7642, 23806, 14113, 19314, 19376, 25846]"
1,"[2101, 5523, 8937, 15105, 6019, 11534, 21420, 15484, 20999, 13807, 6046, 25639, 3619, 11253, 1093, 442, 11192, 8472, 20455, 27098]"
2,"[21425, 17615, 16541, 8244, 22682, 4251, 8948, 555, 25826, 9532, 823, 4310, 8199, 25455, 26034, 1648, 27506, 21738, 26871, 26413]"
3,"[20657, 20501, 23185, 9263, 15257, 9139, 26492, 26677, 11394, 20565, 5140, 14099, 6690, 17749, 20617, 23837, 1480, 197, 14821, 23756]"
4,"[20918, 4415, 2608, 8330, 23451, 14687, 21578, 19054, 2379, 14563, 1188, 19229, 15465, 18414, 20217, 2313, 11041, 8412, 4034, 16510]"
5,"[24844, 20667, 12817, 26973, 14270, 19526, 26762, 22760, 25100, 22396, 19283, 8506, 25589, 9440, 12077, 21016, 24267, 19668, 18371, 26491]"
6,"[18012, 9279, 23081, 23473, 24062, 25787, 10057, 2025, 23521, 10168, 18100, 8442, 26486, 22048, 4480, 15129, 4257, 25097, 377, 24551]"
7,"[26714, 20766, 21386, 21931, 7200, 26802, 25533, 21695, 6074, 9158, 20327, 8137, 26477, 27190, 8648, 14777, 12840, 9246, 12859, 2533]"
8,"[24861, 1014, 17290, 23641, 5866, 23651, 1313, 7943, 13058, 15614, 23565, 22890, 7605, 20933, 7975, 5302, 4260, 13779, 2423, 17288]"
9,"[16226, 14128, 19173, 13456, 13132, 22879, 27092, 3590, 27061, 2022, 6601, 15673, 2384, 4930, 17313, 2415, 7140, 20922, 8548, 21720]"
10,"[9963, 24123, 9966, 11819, 13770, 3851, 24546, 15615, 609, 1944, 2466, 7055, 3081, 18249, 3167, 5769, 23486, 22903, 16562, 25215]"
11,"[4170, 5100, 17445, 21830, 15610, 2872, 7082, 17103, 7399, 8642, 7187, 16623, 5224, 1417, 26926, 20375, 8815, 21015, 7401, 10516]"
12,"[20196, 8199, 26156, 12666, 18389, 14930, 8599, 20571, 18342, 20198, 11655, 27294, 14758, 10422, 20227, 24882, 11340, 27611, 19540, 22777]"
13,"[6303, 25788, 228, 6366, 14105, 13928, 15882, 24264, 17056, 21901, 17922, 26453, 23782, 12503, 8751, 21198, 26602, 12994, 7515, 3008]"
14,"[2058, 19343, 9683, 1180, 16611, 25326, 3846, 5548, 20982, 9684, 22309, 24674, 11241, 13697, 3082, 1442, 12214, 17567, 13780, 22892]"
15,"[12478, 20891, 19026, 24662, 11957, 11664, 4642, 16904, 11988, 18635, 851, 18529, 22070, 5887, 6965, 22800, 607, 22243, 13109, 4948]"
16,"[22631, 3587, 8509, 9158, 15079, 9447, 4780, 26632, 1753, 15552, 11171, 13994, 18514, 21800, 25685, 9799, 23407, 15117, 18260, 16771]"
17,"[22664, 9675, 16221, 18591, 11961, 21561, 18681, 22968, 14623, 16196, 16499, 23614, 14414, 14449, 8, 2750, 2376, 19774, 7866, 22056]"
