annotator_id,text_ids
0,"['edy9r0a', 'edrwj9z', 'eensbs3', 'edzup9f', 'ee0og3x', 'eduyl4n', 'eedj4au', 'eea08q2', 'ed2hqj5', 'ee93aaf', 'ee21tnl', 'ed5g4ed', 'efbda2i', 'efa770d', 'edgkcyf', 'ee681md', 'ee4h4cu', 'ef33w8v', 'edndst3', 'edkwm2x']"
1,"['edxn1r9', 'edp15uz', 'eeo9mco', 'edbfmjb', 'eduo7pu', 'ed636aq', 'edq3vgn', 'edfr91t', 'ee5y6dt', 'ed2cvhn', 'ed79sso', 'edp2c5v', 'ee1is6k', 'ee2v09b', 'eez85aq', 'ee6lqiq', 'ef7lwbu', 'eerq2bw', 'eeok9b7', 'edn4r4f']"
2,"['edukx7z', 'eeyn22a', 'edsf75c', 'ef7gxkz', 'eekx665', 'edjdltb', 'edzcj95', 'ee8yxk9', 'eea18ii', 'ee7y1ba', 'efa58vc', 'ef38ybj', 'ef2hh4y', 'ef0n9iu', 'edh3au5', 'eeuobn9', 'eddninx', 'edfjpdp', 'eduaska', 'een9jy5']"
3,"['edsuk7y', 'edhlqq8', 'ef46ecg', 'efcwom2', 'ee3dm5e', 'ed9p7xd', 'eff1eao', 'eew1vsp', 'eesaqkb', 'ef873rt', 'edffd44', 'eeg781u', 'efh6san', 'eena3p8', 'eew78g0', 'eferh1u', 'eexuxuv', 'ed7we1g', 'ee6l4ts', 'ed995t7']"
4,"['ednxizv', 'edu177n', 'eeydb5o', 'ef59qm6', 'eeduxe9', 'eefy5l1', 'efbvpu3', 'eec9exg', 'eeq2jyu', 'edmv63r', 'ee8ifsr', 'ef36co6', 'ees470u', 'edm6d8n', 'eetk1rn', 'edih1gx', 'ee7wi9p', 'edklulr', 'eeqh3yz', 'ed3yxmw']"
5,"['ed8yli2', 'ee5vngx', 'edk40qa', 'ed45q4n', 'eehwczq', 'ee8n7ct', 'efatg59', 'eekaltq', 'edhas8r', 'edh1jmz', 'ee6ewou', 'eehksno', 'efgk1x9', 'eeb063d', 'ee0wa1c', 'efg4yc0', 'ed4r98y', 'efa2amd', 'efc8hdb', 'eec5kh7']"
6,"['eeeu7io', 'edbf2j2', 'eeuqtvk', 'eerm737', 'ee572r6', 'eemupsr', 'ed96p8f', 'ediyzgi', 'ee1h9rr', 'eejnvcr', 'edxt2fi', 'ee6eyoy', 'edzqucj', 'ef2yyf2', 'eer3ohm', 'edxzjyk', 'eel9csq', 'efbqwh3', 'edz7ahe', 'ee1oxl5']"
7,"['edzdgez', 'eep2e4c', 'edaikq7', 'efgq9g7', 'efgvohz', 'eeldnnq', 'eeqr3dp', 'ee5v1je', 'edsc40y', 'ee1ekfo', 'edj0bas', 'ee1tnj9', 'ed9zhtc', 'edoyixq', 'ee8kdbl', 'edton0g', 'edxfal5', 'effo18i', 'edwqt3w', 'ef7t3mt']"
8,"['edw5ip5', 'edjbixz', 'eely1w4', 'eddjkvl', 'ed3wpwb', 'efa4u70', 'eew7ppc', 'eevullt', 'edotygl', 'eeatzh6', 'ede7csf', 'eduyxxq', 'eewy6r4', 'eelzg98', 'efanses', 'edx45m7', 'edno28n', 'ed1oe5m', 'eer01eq', 'ee5ei1l']"
9,"['eetcyi5', 'ee8faoi', 'edvtbs2', 'ef5ekuj', 'ee8zbr7', 'edi08f9', 'eeirjs2', 'eeg15y3', 'ee115jn', 'ee34akk', 'edk4rxz', 'efh4tjg', 'ee5p45c', 'ed6c84a', 'ed76wz1', 'efeece8', 'eeb36zh', 'edo0rxr', 'ee7y8dh', 'eef1byg']"
10,"['ed4vtkb', 'eeq9s7w', 'edk3bcf', 'ef18oyv', 'edtlie0', 'eemy7ap', 'edgj0t6', 'ed4432r', 'eey0znf', 'efcko29', 'edob4m5', 'ee8dwbo', 'eeru3v2', 'edtnwpp', 'edbaal4', 'edyukw8', 'ee6pqlf', 'edx5ft3', 'edkjk8d', 'ef6779u']"
11,"['edqihj5', 'ed47l38', 'ee0csyv', 'ed929gb', 'edk8khk', 'ee7v0sm', 'ed1hles', 'ed6hzv6', 'eep6vxo', 'ed4o321', 'edfzo35', 'edngdyn', 'ed2bv7l', 'ef8a78j', 'efgm5lm', 'eesp6na', 'ef77ruf', 'edjqig9', 'eew2wz1', 'edta83y']"
12,"['edoiell', 'eeopdsk', 'ee85xvq', 'ee7khgi', 'edd24rp', 'ed2nta5', 'efdg444', 'edwgdz2', 'edo1khy', 'eeqwnix', 'eehkr51', 'ef5jvg0', 'eeejsh7', 'ed1wh2b', 'efe8bhu', 'edpodvq', 'efh991h', 'ed24wv0', 'eef4o3t', 'ed2lj35']"
13,"['ef90j1p', 'ednig87', 'edg8tu9', 'edn5gap', 'edamxpg', 'eexfo1h', 'ef0ec3b', 'eew3rt1', 'edkneqb', 'ef10zw8', 'ed0zztw', 'eenbh7x', 'eekvjns', 'ee5h9d8', 'ef5sypg', 'eetta44', 'eek1otf', 'ed271ur', 'ed35r07', 'eds8rux']"
14,"['eet22ly', 'edmacjb', 'eexjxwe', 'eehev8l', 'edgj1iv', 'edbt845', 'efa4gh9', 'ed88cu5', 'edvcbim', 'edt8rd3', 'ef0iafc', 'eegus5t', 'ed34yqm', 'ef82uux', 'ed5nt63', 'ed8578q', 'eecqmza', 'ee0ly2z', 'efekalm', 'eddplp2']"
15,"['edv86r5', 'ed7ptrt', 'ee35g54', 'eejnarc', 'ed3zu2v', 'efdosww', 'ee03zsf', 'edam50o', 'edqagga', 'een5rbr', 'eefnv33', 'eeqikij', 'edoe64d', 'ed8l760', 'eddtne8', 'ed0xg86', 'edupszk', 'eez3l42', 'ef8fbik', 'eesapvz']"
16,"['ed9h1fn', 'eeq3vim', 'eeq7df0', 'eea9kfu', 'ed9ldgu', 'ed5pflb', 'ee8x5dn', 'eejks6e', 'edyhvzr', 'eeg9le5', 'eedpjd5', 'eez9nt6', 'eexstm9', 'efgox59', 'edv90zr', 'eebgvoh', 'eerpbz5', 'eehv2im', 'edmnrao', 'ed92uzb']"
