annotator_id,text_ids
worker_0,"['CHRG-113hhrg88494_020', 'CHRG-116hhrg36001_090', 'CHRG-115hhrg30242_026', 'CHRG-113hhrg88494_137', 'CHRG-116hhrg35230_071', 'CHRG-115hhrg25545_128', 'CHRG-116hhrg35230_069', 'CHRG-113hhrg89598_010', 'CHRG-115hhrg31504_045', 'CHRG-115hhrg31349_055', 'CHRG-115hhrg31417_053', 'CHRG-115hhrg31417_016', 'CHRG-114hhrg20722_107', 'CHRG-113hhrg86195_024', 'CHRG-114hhrg97630_102', 'CHRG-114hhrg95063_093', 'CHRG-115hhrg31417_101', 'CHRG-114hhrg26003_010', 'CHRG-116hhrg37282_051', 'CHRG-115hhrg30242_123']"
worker_1,"['CHRG-116hhrg37282_061', 'CHRG-115hhrg31349_084', 'CHRG-115hhrg30956_105', 'CHRG-115hhrg30956_125', 'CHRG-115hhrg31504_117', 'CHRG-114hhrg95063_019', 'CHRG-113hhrg88494_098', 'CHRG-114hhrg26003_056', 'CHRG-115hhrg30956_069', 'CHRG-113hhrg88494_088', 'CHRG-116hhrg36001_100', 'CHRG-113hhrg93834_124', 'CHRG-116hhrg36001_077', 'CHRG-113hhrg88494_090', 'CHRG-116hhrg37282_069', 'CHRG-113hhrg93834_118', 'CHRG-113hhrg89598_091', 'CHRG-113hhrg93834_132', 'CHRG-116hhrg35230_140', 'CHRG-113hhrg93834_048']"
worker_10,"['CHRG-115hhrg31349_000', 'CHRG-115hhrg31349_008', 'CHRG-115hhrg31349_002', 'CHRG-115hhrg31349_004', 'CHRG-115hhrg31349_006']"
worker_11,"['CHRG-116hhrg36001_004', 'CHRG-116hhrg36001_008', 'CHRG-116hhrg36001_006', 'CHRG-116hhrg36001_010', 'CHRG-116hhrg36001_000']"
worker_12,"['CHRG-115hhrg31417_014', 'CHRG-115hhrg31417_022', 'CHRG-115hhrg31417_024', 'CHRG-115hhrg31417_020']"
worker_13,"['CHRG-114hhrg95063_005', 'CHRG-114hhrg95063_001', 'CHRG-114hhrg95063_007', 'CHRG-113hhrg89598_002', 'CHRG-113hhrg89598_006', 'CHRG-113hhrg89598_008', 'CHRG-113hhrg89598_000', 'CHRG-114hhrg95063_009']"
worker_14,"['CHRG-114hhrg95063_009', 'CHRG-113hhrg88494_008', 'CHRG-114hhrg26003_008', 'CHRG-114hhrg26003_014', 'CHRG-115hhrg30956_012', 'CHRG-113hhrg88494_006', 'CHRG-114hhrg26003_010', 'CHRG-114hhrg95063_003', 'CHRG-115hhrg30956_023', 'CHRG-114hhrg95063_007', 'CHRG-114hhrg26003_012', 'CHRG-114hhrg95063_001', 'CHRG-114hhrg26003_004', 'CHRG-115hhrg30956_016', 'CHRG-113hhrg86195_008', 'CHRG-114hhrg26003_016', 'CHRG-114hhrg95063_005', 'CHRG-115hhrg30956_018', 'CHRG-114hhrg26003_018', 'CHRG-114hhrg26003_000']"
worker_15,"['CHRG-113hhrg89598_000', 'CHRG-115hhrg25545_191', 'CHRG-115hhrg25545_203', 'CHRG-116hhrg37282_016', 'CHRG-113hhrg89598_006', 'CHRG-116hhrg37282_012', 'CHRG-113hhrg89598_002', 'CHRG-113hhrg89598_008', 'CHRG-113hhrg89598_004', 'CHRG-115hhrg25545_187', 'CHRG-116hhrg37282_010', 'CHRG-116hhrg37282_014']"
worker_16,"['CHRG-115hhrg31349_014', 'CHRG-115hhrg30956_141', 'CHRG-114hhrg26003_008', 'CHRG-113hhrg89598_018', 'CHRG-115hhrg31349_002', 'CHRG-115hhrg30956_134', 'CHRG-115hhrg31349_010', 'CHRG-115hhrg31349_008', 'CHRG-115hhrg30956_137', 'CHRG-114hhrg26003_006', 'CHRG-115hhrg31349_019', 'CHRG-113hhrg89598_016', 'CHRG-115hhrg31349_006', 'CHRG-114hhrg26003_002', 'CHRG-113hhrg89598_012', 'CHRG-115hhrg31349_021', 'CHRG-115hhrg30956_129', 'CHRG-114hhrg26003_004', 'CHRG-115hhrg31349_000', 'CHRG-114hhrg26003_000']"
worker_17,"['CHRG-115hhrg31417_073', 'CHRG-115hhrg31417_067', 'CHRG-115hhrg31417_069']"
worker_18,"['CHRG-114hhrg26003_000', 'CHRG-114hhrg26003_004', 'CHRG-114hhrg26003_008', 'CHRG-114hhrg26003_002', 'CHRG-114hhrg26003_006']"
worker_19,"['CHRG-115hhrg31417_032', 'CHRG-115hhrg31417_028', 'CHRG-115hhrg31417_030', 'CHRG-115hhrg31417_034', 'CHRG-115hhrg31417_026']"
worker_2,"['CHRG-114hhrg95063_009', 'CHRG-115hhrg25545_051', 'CHRG-115hhrg25545_055', 'CHRG-114hhrg95063_005', 'CHRG-114hhrg95063_007', 'CHRG-115hhrg25545_059', 'CHRG-114hhrg95063_003', 'CHRG-115hhrg25545_053', 'CHRG-115hhrg25545_065', 'CHRG-114hhrg95063_001']"
worker_20,"['CHRG-113hhrg93834_044', 'CHRG-115hhrg31504_142', 'CHRG-115hhrg31349_039', 'CHRG-116hhrg37282_093', 'CHRG-115hhrg32380_130', 'CHRG-113hhrg88494_025', 'CHRG-115hhrg32380_010', 'CHRG-114hhrg26003_008', 'CHRG-113hhrg93834_061', 'CHRG-114hhrg26003_105', 'CHRG-115hhrg31349_059', 'CHRG-115hhrg31349_121', 'CHRG-114hhrg95063_019', 'CHRG-115hhrg25545_065', 'CHRG-115hhrg32380_055', 'CHRG-116hhrg35230_101', 'CHRG-115hhrg31504_031', 'CHRG-115hhrg32380_025', 'CHRG-116hhrg36001_149', 'CHRG-114hhrg26003_121']"
worker_21,"['CHRG-116hhrg35230_113', 'CHRG-114hhrg26003_018', 'CHRG-114hhrg26003_010', 'CHRG-114hhrg22125_016', 'CHRG-113hhrg86195_006', 'CHRG-116hhrg35230_111', 'CHRG-114hhrg22125_014', 'CHRG-116hhrg35230_117', 'CHRG-115hhrg30242_007', 'CHRG-114hhrg26003_014', 'CHRG-114hhrg22125_089', 'CHRG-116hhrg35230_006', 'CHRG-114hhrg22125_010', 'CHRG-114hhrg22125_091', 'CHRG-116hhrg35230_008', 'CHRG-113hhrg86195_008', 'CHRG-113hhrg86195_002', 'CHRG-113hhrg86195_014', 'CHRG-114hhrg22125_063', 'CHRG-114hhrg22125_061']"
worker_22,"['CHRG-115hhrg31417_059', 'CHRG-115hhrg31417_055', 'CHRG-115hhrg31417_047', 'CHRG-115hhrg31417_051']"
worker_23,"['CHRG-114hhrg26003_068', 'CHRG-114hhrg26003_077', 'CHRG-113hhrg88494_000', 'CHRG-114hhrg26003_066', 'CHRG-114hhrg26003_062', 'CHRG-113hhrg88494_004', 'CHRG-113hhrg88494_008', 'CHRG-113hhrg88494_006', 'CHRG-114hhrg26003_075', 'CHRG-113hhrg88494_002']"
worker_24,"['CHRG-115hhrg31417_012', 'CHRG-115hhrg31417_004', 'CHRG-115hhrg31417_010', 'CHRG-115hhrg31417_008', 'CHRG-115hhrg31417_006']"
worker_25,"['CHRG-115hhrg31417_041', 'CHRG-115hhrg31417_038', 'CHRG-115hhrg31417_036', 'CHRG-115hhrg31417_043', 'CHRG-115hhrg31417_045']"
worker_26,"['CHRG-115hhrg31417_026', 'CHRG-115hhrg31417_032', 'CHRG-115hhrg31417_030']"
worker_27,"['CHRG-115hhrg31417_032', 'CHRG-115hhrg31417_026', 'CHRG-115hhrg31417_034', 'CHRG-115hhrg31417_030']"
worker_28,"['CHRG-113hhrg89598_008', 'CHRG-113hhrg89598_004', 'CHRG-113hhrg89598_006', 'CHRG-113hhrg89598_000', 'CHRG-113hhrg89598_002']"
worker_29,"['CHRG-115hhrg31417_055', 'CHRG-115hhrg31417_047', 'CHRG-115hhrg31417_053', 'CHRG-115hhrg31417_059', 'CHRG-115hhrg31417_051']"
worker_3,"['CHRG-114hhrg97630_116', 'CHRG-114hhrg97630_016', 'CHRG-115hhrg31417_030', 'CHRG-114hhrg97630_130', 'CHRG-115hhrg31417_034', 'CHRG-114hhrg22125_016', 'CHRG-114hhrg97630_108', 'CHRG-115hhrg31417_032', 'CHRG-114hhrg97630_004', 'CHRG-114hhrg97630_020', 'CHRG-116hhrg35589_001', 'CHRG-114hhrg22125_045', 'CHRG-114hhrg97630_079', 'CHRG-116hhrg35589_117', 'CHRG-114hhrg97630_083', 'CHRG-114hhrg22125_099', 'CHRG-114hhrg22125_103', 'CHRG-113hhrg86195_018', 'CHRG-115hhrg30242_059', 'CHRG-114hhrg97630_014']"
worker_30,"['CHRG-114hhrg95063_074', 'CHRG-114hhrg95063_076', 'CHRG-113hhrg86195_114', 'CHRG-114hhrg20722_151', 'CHRG-115hhrg30242_066', 'CHRG-114hhrg20722_125', 'CHRG-115hhrg31349_004', 'CHRG-113hhrg89598_095', 'CHRG-114hhrg22125_051', 'CHRG-114hhrg22125_063', 'CHRG-116hhrg35589_032', 'CHRG-115hhrg32380_103', 'CHRG-115hhrg32380_146', 'CHRG-115hhrg25545_181', 'CHRG-115hhrg31504_035', 'CHRG-116hhrg35589_153', 'CHRG-116hhrg35230_057', 'CHRG-115hhrg30242_024', 'CHRG-114hhrg22125_095', 'CHRG-114hhrg97630_083']"
worker_31,"['CHRG-115hhrg25545_191', 'CHRG-114hhrg26003_006', 'CHRG-114hhrg26003_111', 'CHRG-113hhrg86195_020', 'CHRG-115hhrg25545_069', 'CHRG-115hhrg25545_199', 'CHRG-114hhrg26003_045', 'CHRG-114hhrg26003_062', 'CHRG-116hhrg35230_004', 'CHRG-115hhrg25545_100', 'CHRG-116hhrg36001_006', 'CHRG-116hhrg35230_008', 'CHRG-113hhrg88494_014', 'CHRG-115hhrg25545_083', 'CHRG-113hhrg88494_025', 'CHRG-116hhrg36001_004', 'CHRG-113hhrg88494_029', 'CHRG-115hhrg25545_187', 'CHRG-114hhrg26003_052', 'CHRG-114hhrg26003_115']"
worker_32,"['CHRG-115hhrg31417_004', 'CHRG-115hhrg31417_012', 'CHRG-115hhrg31417_008', 'CHRG-115hhrg31417_010', 'CHRG-115hhrg31417_006']"
worker_33,"['CHRG-115hhrg31349_029', 'CHRG-115hhrg31349_031', 'CHRG-115hhrg31349_023', 'CHRG-115hhrg31349_027']"
worker_34,"['CHRG-115hhrg31349_000', 'CHRG-115hhrg31349_008', 'CHRG-115hhrg31349_004', 'CHRG-115hhrg31349_006', 'CHRG-115hhrg31349_002']"
worker_35,"['CHRG-115hhrg30956_003', 'CHRG-113hhrg89598_002', 'CHRG-113hhrg89598_008', 'CHRG-115hhrg32380_010', 'CHRG-113hhrg89598_000', 'CHRG-116hhrg36001_004', 'CHRG-116hhrg35230_002', 'CHRG-116hhrg35230_006', 'CHRG-116hhrg35230_008', 'CHRG-115hhrg30956_005', 'CHRG-116hhrg36001_008', 'CHRG-116hhrg35230_000', 'CHRG-115hhrg30956_010', 'CHRG-115hhrg32380_004', 'CHRG-115hhrg30956_001', 'CHRG-116hhrg36001_010', 'CHRG-113hhrg89598_006', 'CHRG-116hhrg36001_000', 'CHRG-116hhrg35230_004', 'CHRG-113hhrg89598_004']"
worker_36,"['CHRG-113hhrg88494_029', 'CHRG-113hhrg88494_014', 'CHRG-113hhrg88494_020', 'CHRG-113hhrg88494_025', 'CHRG-113hhrg88494_027']"
worker_37,"['CHRG-116hhrg35230_004', 'CHRG-116hhrg35230_008', 'CHRG-116hhrg35230_000', 'CHRG-116hhrg35230_006', 'CHRG-116hhrg35230_002']"
worker_38,"['CHRG-115hhrg30242_040', 'CHRG-116hhrg35589_115', 'CHRG-116hhrg35589_121', 'CHRG-116hhrg35589_125', 'CHRG-116hhrg35589_139', 'CHRG-116hhrg35589_119', 'CHRG-116hhrg35589_113', 'CHRG-115hhrg31349_021', 'CHRG-115hhrg25545_079', 'CHRG-116hhrg35230_047', 'CHRG-115hhrg25545_083', 'CHRG-116hhrg35230_053', 'CHRG-115hhrg25545_077', 'CHRG-116hhrg35589_117', 'CHRG-115hhrg30242_036', 'CHRG-116hhrg35230_049', 'CHRG-115hhrg30242_034', 'CHRG-116hhrg35589_111', 'CHRG-115hhrg25545_069', 'CHRG-116hhrg35230_041']"
worker_39,"['CHRG-115hhrg32380_025', 'CHRG-115hhrg31417_024', 'CHRG-115hhrg32380_015', 'CHRG-115hhrg25545_120', 'CHRG-115hhrg31417_030', 'CHRG-116hhrg36001_032', 'CHRG-115hhrg31417_028', 'CHRG-115hhrg31417_020', 'CHRG-116hhrg36001_163', 'CHRG-113hhrg89598_047', 'CHRG-113hhrg89598_061', 'CHRG-113hhrg86195_051', 'CHRG-115hhrg25545_051', 'CHRG-113hhrg88494_004', 'CHRG-115hhrg32380_046', 'CHRG-115hhrg31417_053', 'CHRG-113hhrg88494_006', 'CHRG-115hhrg31417_073', 'CHRG-113hhrg89598_055', 'CHRG-115hhrg31417_063']"
worker_4,"['CHRG-116hhrg36001_010', 'CHRG-115hhrg30956_014', 'CHRG-113hhrg89598_002', 'CHRG-113hhrg89598_006', 'CHRG-116hhrg36001_000', 'CHRG-115hhrg30956_016', 'CHRG-116hhrg36001_006', 'CHRG-113hhrg89598_004', 'CHRG-115hhrg30956_012', 'CHRG-116hhrg37282_012', 'CHRG-115hhrg25545_051', 'CHRG-116hhrg37282_010', 'CHRG-115hhrg30956_023', 'CHRG-116hhrg36001_008', 'CHRG-115hhrg25545_053', 'CHRG-116hhrg37282_014', 'CHRG-115hhrg25545_059', 'CHRG-116hhrg36001_004', 'CHRG-113hhrg89598_008', 'CHRG-115hhrg30956_018']"
worker_40,"['CHRG-116hhrg37282_031', 'CHRG-114hhrg97630_092', 'CHRG-114hhrg97630_124', 'CHRG-116hhrg35230_111', 'CHRG-114hhrg97630_100', 'CHRG-114hhrg97630_012', 'CHRG-116hhrg35230_103', 'CHRG-114hhrg97630_010', 'CHRG-116hhrg37282_037', 'CHRG-115hhrg30242_079', 'CHRG-116hhrg35230_037', 'CHRG-115hhrg30242_024', 'CHRG-114hhrg97630_110', 'CHRG-115hhrg30242_077', 'CHRG-116hhrg35589_111', 'CHRG-116hhrg37282_079', 'CHRG-115hhrg30242_048', 'CHRG-115hhrg30242_119', 'CHRG-114hhrg97630_067', 'CHRG-116hhrg35589_147']"
worker_41,"['CHRG-114hhrg22125_008', 'CHRG-116hhrg35589_104', 'CHRG-114hhrg26003_105', 'CHRG-114hhrg22125_051', 'CHRG-114hhrg97630_102', 'CHRG-116hhrg35589_155', 'CHRG-114hhrg97630_029', 'CHRG-115hhrg31504_080', 'CHRG-115hhrg25545_199', 'CHRG-114hhrg95063_003', 'CHRG-116hhrg37282_063', 'CHRG-116hhrg35589_064', 'CHRG-115hhrg31504_033', 'CHRG-114hhrg22125_115', 'CHRG-114hhrg97630_000', 'CHRG-114hhrg22125_039', 'CHRG-114hhrg26003_079', 'CHRG-114hhrg95063_044', 'CHRG-116hhrg35230_057', 'CHRG-114hhrg97630_130']"
worker_42,"['CHRG-115hhrg32380_015', 'CHRG-113hhrg88494_100', 'CHRG-116hhrg36001_145', 'CHRG-115hhrg30956_139', 'CHRG-113hhrg86195_068', 'CHRG-115hhrg30956_127', 'CHRG-116hhrg36001_092', 'CHRG-115hhrg30956_061', 'CHRG-113hhrg88494_114', 'CHRG-113hhrg88494_098', 'CHRG-113hhrg86195_086', 'CHRG-113hhrg89598_047', 'CHRG-116hhrg36001_155', 'CHRG-113hhrg89598_199', 'CHRG-113hhrg89598_119', 'CHRG-113hhrg89598_187', 'CHRG-113hhrg88494_169', 'CHRG-115hhrg32380_019', 'CHRG-113hhrg86195_096', 'CHRG-113hhrg88494_173']"
